episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-5.4738,-5.4738,0.000,211,525,0,16,1.000,45,0.00,22,777.06,0,0,35.901(44.876%)(1.704m),67.198(59.292%)(5.057m),113.333(100.000%)(10.000m),21.000(18.529%)(0.107m),27.000(33.750%)(0.750m),25.932(64.829%)(1.707m),40.000(100.000%)(3.214m),0.000,7252.874,57.6,0.0000,"[0.063, 0.097, -0.070, 0.117, 0.127, 0.141]","[0.074, 0.102, -0.065, 0.124, 0.135, 0.148]","[0.042, 0.091, -0.086, 0.110, 0.121, 0.132]"
2,1,-4.7753,-5.1246,0.000,179,436,20,0,0.998,40,0.00,40,489.32,0,0,57.000(71.250%)(3.964m),74.000(65.294%)(5.786m),54.047(47.689%)(3.648m),21.511(18.980%)(0.162m),11.731(14.664%)(0.000m),40.000(100.000%)(3.214m),10.249(25.623%)(0.027m),2580.466,6580.475,56.4,0.0000,"[0.044, 0.093, -0.079, 0.122, 0.132, 0.131]","[0.055, 0.095, -0.069, 0.126, 0.138, 0.139]","[0.027, 0.090, -0.099, 0.119, 0.117, 0.112]"
3,1,-2.5466,-4.2653,0.000,142,389,9,14,0.996,40,0.00,55,448.54,0,0,78.639(98.299%)(6.283m),21.000(18.529%)(0.107m),20.000(17.647%)(0.000m),113.333(100.000%)(10.000m),57.224(71.530%)(3.988m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2064.663,63.4,0.0000,"[0.048, 0.087, -0.070, 0.127, 0.132, 0.140]","[0.053, 0.094, -0.064, 0.133, 0.134, 0.148]","[0.041, 0.076, -0.077, 0.121, 0.124, 0.133]"
4,1,-5.3282,-4.5310,0.000,162,446,0,23,0.994,40,0.00,72,476.43,0,0,32.900(41.125%)(1.382m),63.074(55.654%)(4.615m),113.333(100.000%)(10.000m),25.000(22.059%)(0.536m),13.000(16.250%)(0.000m),23.552(58.880%)(1.452m),40.000(100.000%)(3.214m),2309.055,5370.738,63.7,0.0000,"[0.061, 0.096, -0.072, 0.121, 0.126, 0.145]","[0.076, 0.104, -0.067, 0.128, 0.136, 0.158]","[0.037, 0.088, -0.091, 0.111, 0.118, 0.132]"
5,1,-5.9505,-4.8149,0.000,77,190,20,0,0.992,25,0.00,80,239.85,0,0,9.367(11.708%)(0.000m),13.839(12.211%)(0.000m),22.460(19.818%)(0.264m),72.715(64.161%)(5.648m),77.067(96.334%)(6.114m),10.991(27.477%)(0.106m),40.000(100.000%)(3.214m),3435.499,8752.659,57.0,0.0000,"[0.055, 0.090, -0.069, 0.121, 0.124, 0.134]","[0.062, 0.095, -0.066, 0.124, 0.133, 0.140]","[0.052, 0.083, -0.070, 0.114, 0.104, 0.125]"
6,1,-6.1500,-5.0374,0.000,107,260,19,0,0.990,30,0.00,91,323.59,0,0,11.737(14.672%)(0.000m),22.046(19.452%)(0.219m),59.474(52.477%)(4.229m),106.000(93.530%)(9.214m),77.067(96.334%)(6.114m),10.003(25.008%)(0.000m),40.000(100.000%)(3.214m),3897.178,9703.212,56.2,5.7471,"[0.058, 0.092, -0.067, 0.120, 0.122, 0.137]","[0.068, 0.096, -0.057, 0.122, 0.133, 0.142]","[0.053, 0.087, -0.070, 0.116, 0.107, 0.133]"
7,1,-8.5962,-5.5458,0.000,217,540,38,19,0.988,45,0.00,113,654.46,0,0,52.550(65.688%)(3.488m),43.000(37.941%)(2.464m),25.000(22.059%)(0.536m),20.000(17.647%)(0.000m),22.000(27.500%)(0.214m),40.000(100.000%)(3.214m),20.722(51.806%)(1.149m),0.000,7364.417,57.6,0.0000,"[0.042, 0.092, -0.082, 0.123, 0.132, 0.130]","[0.058, 0.098, -0.069, 0.130, 0.139, 0.149]","[0.032, 0.076, -0.091, 0.116, 0.117, 0.116]"
8,1,-6.3029,-5.6404,0.000,166,403,20,0,0.986,40,0.00,130,524.75,0,0,10.947(13.684%)(0.000m),18.623(16.432%)(0.000m),38.866(34.293%)(2.021m),79.000(69.706%)(6.321m),64.000(80.000%)(4.714m),10.425(26.062%)(0.046m),40.000(100.000%)(3.214m),4041.748,8986.096,56.2,0.0000,"[0.061, 0.094, -0.067, 0.118, 0.123, 0.139]","[0.073, 0.099, -0.059, 0.123, 0.133, 0.148]","[0.053, 0.089, -0.071, 0.113, 0.107, 0.133]"
9,1,-5.4517,-5.6195,0.000,250,616,17,23,0.984,50,0.00,155,740.85,0,0,27.000(33.750%)(0.750m),34.000(30.000%)(1.500m),51.416(45.367%)(3.366m),21.126(18.641%)(0.121m),11.655(14.569%)(0.000m),40.000(100.000%)(3.214m),10.309(25.774%)(0.033m),1822.178,5890.621,57.0,0.0000,"[0.045, 0.091, -0.078, 0.121, 0.132, 0.132]","[0.054, 0.098, -0.069, 0.128, 0.137, 0.139]","[0.024, 0.084, -0.101, 0.109, 0.119, 0.115]"
10,1,-6.2841,-5.6859,0.000,67,163,19,0,0.982,20,0.00,162,211.17,0,0,9.685(12.107%)(0.000m),14.309(12.626%)(0.000m),23.224(20.492%)(0.345m),75.188(66.343%)(5.913m),77.067(96.334%)(6.114m),11.365(28.411%)(0.146m),40.000(100.000%)(3.214m),4196.329,9225.428,56.4,0.0000,"[0.054, 0.089, -0.069, 0.121, 0.123, 0.132]","[0.061, 0.094, -0.068, 0.123, 0.133, 0.139]","[0.050, 0.083, -0.071, 0.114, 0.105, 0.127]"
