episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-3.7931,-3.7931,0.000,148,402,26,0,1.000,40,0.00,15,572.79,0,0,12.446(15.557%)(0.000m),25.731(22.704%)(0.614m),100.975(89.095%)(8.676m),92.000(81.177%)(7.714m),46.000(57.500%)(2.786m),9.710(24.276%)(0.000m),40.000(100.000%)(3.214m),2189.849,5504.349,62.8,0.0000,"[-0.019, 0.003, 0.057, -0.059, 0.043, 0.107]","[-0.014, 0.011, 0.059, -0.055, 0.049, 0.111]","[-0.025, -0.003, 0.054, -0.065, 0.040, 0.100]"
2,1,-6.7667,-5.2799,0.000,130,315,23,0,0.998,35,0.00,28,384.18,0,0,78.639(98.299%)(6.283m),89.000(78.530%)(7.393m),51.362(45.320%)(3.360m),21.184(18.691%)(0.127m),11.687(14.608%)(0.000m),40.000(100.000%)(3.214m),10.338(25.844%)(0.036m),3508.808,8936.321,56.1,0.0000,"[-0.020, 0.004, 0.058, -0.066, 0.054, 0.102]","[-0.015, 0.022, 0.060, -0.064, 0.081, 0.108]","[-0.025, -0.000, 0.052, -0.069, 0.045, 0.100]"
3,1,-5.9713,-5.5104,0.000,90,216,18,0,0.996,25,0.00,37,297.94,0,0,69.057(86.321%)(5.256m),49.202(43.414%)(3.129m),20.216(17.838%)(0.023m),13.292(11.728%)(0.000m),9.427(11.784%)(0.000m),40.000(100.000%)(3.214m),12.083(30.207%)(0.223m),4182.623,8569.477,55.5,0.0000,"[-0.018, 0.006, 0.057, -0.067, 0.053, 0.103]","[-0.014, 0.036, 0.062, -0.063, 0.080, 0.109]","[-0.022, -0.002, 0.054, -0.073, 0.044, 0.095]"
4,1,-3.9534,-5.1211,0.000,88,242,16,0,0.994,30,0.00,46,295.96,0,0,73.000(91.250%)(5.679m),95.000(83.824%)(8.036m),34.478(30.422%)(1.551m),17.847(15.748%)(0.000m),10.894(13.617%)(0.000m),40.000(100.000%)(3.214m),10.894(27.234%)(0.096m),1864.605,4321.495,63.7,0.0000,"[-0.025, 0.002, 0.056, -0.064, 0.054, 0.102]","[-0.015, 0.022, 0.059, -0.060, 0.080, 0.108]","[-0.033, -0.007, 0.051, -0.069, 0.045, 0.095]"
5,1,-5.8912,-5.2751,0.000,67,163,17,0,0.992,20,0.00,53,170.57,0,0,78.639(98.299%)(6.283m),35.294(31.142%)(1.639m),17.267(15.236%)(0.000m),11.970(10.561%)(0.000m),8.855(11.069%)(0.000m),40.000(100.000%)(3.214m),12.434(31.086%)(0.261m),3943.092,8970.526,56.5,0.0000,"[-0.020, 0.006, 0.057, -0.068, 0.056, 0.101]","[-0.015, 0.039, 0.064, -0.065, 0.081, 0.108]","[-0.024, -0.004, 0.053, -0.074, 0.045, 0.096]"
6,1,-5.2357,-5.2686,1.915,224,557,92,0,0.990,45,0.00,76,875.87,0,0,13.432(16.789%)(0.000m),29.904(26.386%)(1.061m),79.509(70.155%)(6.376m),81.000(71.471%)(6.536m),49.000(61.250%)(3.107m),9.693(24.233%)(0.000m),40.000(100.000%)(3.214m),2709.816,7677.868,57.6,4.3245,"[-0.051, -0.079, 0.022, -0.081, 0.005, 0.131]","[-0.011, 0.018, 0.059, -0.058, 0.047, 0.246]","[-0.162, -0.336, -0.095, -0.111, -0.111, 0.104]"
7,1,-6.3309,-5.4203,1.591,236,574,27,13,0.988,45,0.00,100,863.71,0,0,39.470(49.338%)(2.086m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),22.000(19.412%)(0.214m),67.666(84.582%)(5.107m),28.556(71.390%)(1.988m),40.000(100.000%)(3.214m),0.000,6047.364,56.3,0.0000,"[-0.219, -0.565, -0.421, 0.020, 0.165, 0.365]","[0.075, -0.158, -0.210, 0.258, 0.603, 0.423]","[-0.440, -0.829, -0.758, -0.464, 0.047, 0.266]"
8,1,-6.4818,-5.5530,1.297,217,542,15,0,0.986,45,0.00,122,778.42,0,0,36.000(45.000%)(1.714m),61.000(53.824%)(4.393m),64.544(56.951%)(4.773m),24.262(21.407%)(0.457m),12.258(15.323%)(0.000m),40.000(100.000%)(3.214m),9.936(24.840%)(0.000m),2274.043,7951.295,57.8,0.0000,"[-0.208, -0.432, -0.635, -0.019, 0.637, 0.591]","[0.252, 0.118, -0.224, 0.518, 1.271, 0.772]","[-1.512, -1.765, -1.666, -1.422, 0.233, 0.440]"
9,1,-8.5819,-5.8896,0.975,239,584,62,20,0.984,45,0.00,146,818.00,0,0,56.995(71.244%)(3.964m),73.000(64.412%)(5.679m),34.000(30.000%)(1.500m),20.000(17.647%)(0.000m),22.772(28.465%)(0.297m),40.000(100.000%)(3.214m),16.177(40.442%)(0.662m),0.000,7286.736,56.5,1.0421,"[0.118, 0.133, -0.199, 0.409, 1.140, 1.005]","[0.880, 0.871, 0.600, 1.061, 1.453, 1.442]","[-1.116, -1.149, -1.322, -0.855, 0.681, 0.827]"
10,1,-6.1262,-5.9132,0.974,81,204,14,0,0.982,25,0.00,155,302.94,0,0,10.252(12.815%)(0.000m),15.365(13.557%)(0.000m),25.478(22.481%)(0.587m),93.093(82.141%)(7.831m),77.067(96.334%)(6.114m),11.734(29.335%)(0.186m),40.000(100.000%)(3.214m),4523.291,7784.927,58.3,0.0000,"[1.022, 0.959, 0.527, 1.244, 0.820, 1.276]","[1.140, 1.055, 0.738, 1.346, 1.190, 1.341]","[0.649, 0.779, -0.064, 0.846, 0.099, 0.976]"
11,1,-6.3521,-5.9531,0.887,186,475,35,15,0.980,45,0.00,174,652.95,0,0,49.659(62.074%)(3.178m),102.668(90.589%)(8.857m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),25.000(31.250%)(0.536m),36.091(90.229%)(2.796m),40.000(100.000%)(3.214m),0.000,2359.245,59.1,0.0000,"[0.574, 0.716, 0.287, 0.513, 1.313, 1.231]","[1.472, 1.269, 1.074, 1.416, 1.555, 2.002]","[-5.411, -3.504, -5.857, -6.316, 0.446, 1.034]"
