episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-5.1155,-5.1155,0.000,132,326,16,0,1.000,35,0.00,14,555.62,0,0,78.639(98.299%)(6.283m),90.000(79.412%)(7.500m),68.535(60.472%)(5.200m),25.951(22.898%)(0.638m),12.552(15.690%)(0.000m),40.000(100.000%)(3.214m),9.793(24.483%)(0.000m),3335.228,6572.229,57.1,0.0000,"[-0.082, -0.104, -0.085, -0.033, -0.057, 0.044]","[-0.075, -0.096, -0.081, -0.009, -0.034, 0.051]","[-0.094, -0.117, -0.091, -0.046, -0.068, 0.039]"
2,1,-5.5520,-5.3338,0.000,188,467,18,0,0.998,40,0.00,33,535.70,0,0,50.000(62.500%)(3.214m),56.000(49.412%)(3.857m),24.124(21.286%)(0.442m),14.708(12.978%)(0.000m),9.885(12.356%)(0.000m),37.117(92.793%)(2.905m),11.455(28.638%)(0.156m),1364.264,4171.024,57.4,0.0000,"[-0.083, -0.099, -0.083, -0.035, -0.063, 0.047]","[-0.076, -0.089, -0.074, -0.009, -0.037, 0.055]","[-0.094, -0.120, -0.087, -0.052, -0.074, 0.041]"
3,1,-5.7112,-5.4596,0.000,117,283,15,0,0.996,30,0.00,45,355.56,0,0,78.639(98.299%)(6.283m),104.000(91.765%)(9.000m),64.012(56.481%)(4.716m),24.009(21.185%)(0.430m),12.131(15.164%)(0.000m),40.000(100.000%)(3.214m),9.832(24.581%)(0.000m),4011.101,9737.395,56.0,0.0000,"[-0.084, -0.107, -0.085, -0.027, -0.053, 0.043]","[-0.076, -0.096, -0.081, -0.005, -0.033, 0.047]","[-0.091, -0.116, -0.087, -0.044, -0.068, 0.040]"
4,1,-5.2307,-5.4024,0.000,136,330,18,0,0.994,35,0.00,59,453.97,0,0,10.880(13.601%)(0.000m),18.509(16.332%)(0.000m),38.628(34.084%)(1.996m),92.000(81.177%)(7.714m),76.230(95.288%)(6.025m),10.361(25.903%)(0.039m),40.000(100.000%)(3.214m),3331.123,8939.975,56.1,6.6005,"[-0.085, -0.093, -0.079, -0.039, -0.068, 0.047]","[-0.078, -0.088, -0.070, -0.023, -0.066, 0.056]","[-0.102, -0.097, -0.087, -0.045, -0.072, 0.042]"
5,1,-5.9589,-5.5137,1.265,98,235,22,0,0.992,25,0.00,69,478.43,0,0,10.182(12.727%)(0.000m),16.389(14.461%)(0.000m),30.624(27.021%)(1.138m),105.000(92.647%)(9.107m),77.067(96.334%)(6.114m),10.434(26.084%)(0.046m),40.000(100.000%)(3.214m),4897.621,8522.594,55.5,0.0000,"[-0.088, -0.078, -0.150, -0.039, -0.081, 0.021]","[-0.078, -0.036, -0.084, -0.018, -0.067, 0.047]","[-0.116, -0.096, -0.280, -0.048, -0.104, -0.050]"
6,1,-6.1288,-5.6162,1.304,114,286,18,0,0.990,30,0.00,81,413.99,0,0,8.992(11.240%)(0.000m),12.679(11.187%)(0.000m),19.284(17.015%)(0.000m),46.932(41.411%)(2.886m),77.067(96.334%)(6.114m),11.525(28.814%)(0.163m),40.000(100.000%)(3.214m),2583.554,6421.561,58.0,0.0000,"[-0.182, -0.048, -0.664, -0.123, -0.265, -0.125]","[-0.112, -0.029, -0.428, -0.050, -0.140, -0.065]","[-0.236, -0.106, -0.830, -0.212, -0.376, -0.191]"
7,1,-5.5977,-5.6135,1.166,178,430,20,0,0.988,40,0.00,99,619.88,0,0,11.535(14.419%)(0.000m),20.450(18.044%)(0.048m),46.982(41.455%)(2.891m),73.000(64.412%)(5.679m),61.672(77.090%)(4.465m),10.458(26.146%)(0.049m),40.000(100.000%)(3.214m),2677.694,6362.925,55.9,0.0000,"[-0.273, -0.198, -0.724, -0.263, -0.736, -0.158]","[-0.189, -0.117, -0.379, -0.227, -0.502, -0.092]","[-0.309, -0.245, -1.015, -0.368, -0.848, -0.402]"
8,1,-4.3835,-5.4598,1.053,136,329,18,0,0.986,35,0.00,113,437.45,0,0,68.998(86.247%)(5.250m),47.958(42.316%)(2.995m),19.705(17.387%)(0.000m),12.956(11.432%)(0.000m),9.189(11.486%)(0.000m),40.000(100.000%)(3.214m),11.777(29.443%)(0.190m),3156.814,6451.615,56.0,0.0000,"[-0.399, -0.231, -0.915, -0.220, -0.911, -0.064]","[-0.281, -0.197, -0.455, -0.134, -0.678, 0.015]","[-0.676, -0.375, -3.083, -0.593, -2.027, -0.325]"
9,1,-4.3412,-5.3355,0.608,279,701,103,24,0.984,55,0.00,141,974.92,0,0,11.000(13.750%)(0.000m),18.000(15.882%)(0.000m),113.333(100.000%)(10.000m),40.065(35.351%)(2.150m),19.156(23.945%)(0.000m),11.000(27.500%)(0.107m),13.539(33.847%)(0.379m),3280.007,8637.104,58.1,0.0000,"[-0.521, -0.649, -1.354, -0.409, -1.067, -0.102]","[-0.318, -0.118, -0.146, 0.056, -0.207, 0.106]","[-1.384, -1.568, -2.506, -2.343, -2.470, -2.551]"
10,1,-5.8008,-5.3820,0.401,74,179,16,0,0.982,20,0.00,149,262.50,0,0,9.886(12.357%)(0.000m),14.504(12.798%)(0.000m),23.301(20.560%)(0.354m),71.623(63.197%)(5.531m),77.067(96.334%)(6.114m),11.746(29.364%)(0.187m),40.000(100.000%)(3.214m),4747.523,10024.746,55.8,0.0000,"[-0.923, -0.973, -1.409, -1.224, -1.248, -1.221]","[-0.053, 0.182, 0.037, 0.515, 0.735, 0.558]","[-2.565, -3.058, -4.206, -3.949, -4.772, -3.931]"
