episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-6.4351,-6.4351,0.000,121,294,18,0,1.000,30,0.00,13,540.94,0,0,10.285(12.856%)(0.000m),15.645(13.805%)(0.000m),26.547(23.424%)(0.701m),95.000(83.824%)(8.036m),64.694(80.868%)(4.789m),11.484(28.711%)(0.159m),40.000(100.000%)(3.214m),3478.979,7397.905,56.3,0.0000,"[-0.041, 0.001, 0.113, 0.025, -0.023, 0.004]","[-0.031, 0.008, 0.130, 0.036, -0.017, 0.013]","[-0.059, -0.010, 0.083, 0.022, -0.043, 0.001]"
2,1,-5.8937,-6.1644,0.000,101,246,16,0,0.998,30,0.00,24,330.44,0,0,9.674(12.092%)(0.000m),14.499(12.793%)(0.000m),24.042(21.213%)(0.433m),87.845(77.511%)(7.269m),76.230(95.288%)(6.025m),11.072(27.681%)(0.115m),40.000(100.000%)(3.214m),3481.934,8050.249,56.4,0.0000,"[-0.041, -0.000, 0.110, 0.027, -0.024, 0.004]","[-0.031, 0.006, 0.129, 0.037, -0.017, 0.013]","[-0.060, -0.009, 0.081, 0.023, -0.044, 0.001]"
3,1,-5.7877,-6.0388,0.000,154,373,19,0,0.996,35,0.00,40,523.72,0,0,10.685(13.356%)(0.000m),18.176(16.038%)(0.000m),37.933(33.470%)(1.921m),89.000(78.530%)(7.393m),67.642(84.553%)(5.105m),10.174(25.436%)(0.019m),40.000(100.000%)(3.214m),3673.390,7645.126,56.1,0.0000,"[-0.042, -0.002, 0.112, 0.025, -0.024, 0.004]","[-0.031, 0.007, 0.130, 0.030, -0.017, 0.012]","[-0.061, -0.017, 0.083, 0.021, -0.044, 0.002]"
4,1,-5.9745,-6.0228,0.000,66,161,17,0,0.994,20,0.00,47,209.14,0,0,8.963(11.203%)(0.000m),12.185(10.751%)(0.000m),17.701(15.618%)(0.000m),36.941(32.595%)(1.815m),77.067(96.334%)(6.114m),12.419(31.048%)(0.259m),40.000(100.000%)(3.214m),3955.008,8911.129,56.5,0.0000,"[-0.044, 0.001, 0.106, 0.027, -0.026, 0.004]","[-0.031, 0.006, 0.129, 0.031, -0.017, 0.009]","[-0.072, -0.005, 0.079, 0.024, -0.053, 0.001]"
5,1,-7.3521,-6.2886,1.881,180,454,16,0,0.992,40,0.00,65,783.00,0,0,47.000(58.750%)(2.893m),45.660(40.288%)(2.749m),18.761(16.554%)(0.000m),12.335(10.884%)(0.000m),8.748(10.936%)(0.000m),40.000(100.000%)(3.214m),11.213(28.032%)(0.130m),1003.564,4400.373,58.3,0.0000,"[-0.043, 0.002, 0.119, 0.020, -0.025, 0.001]","[-0.031, 0.014, 0.130, 0.026, -0.017, 0.004]","[-0.120, -0.008, 0.070, -0.003, -0.060, -0.026]"
6,1,-6.4184,-6.3102,1.845,96,232,17,0,0.990,25,0.00,75,381.46,0,0,78.639(98.299%)(6.283m),111.000(97.941%)(9.750m),49.526(43.699%)(3.163m),20.349(17.955%)(0.037m),11.227(14.033%)(0.000m),40.000(100.000%)(3.214m),9.930(24.826%)(0.000m),4530.920,9760.160,55.9,0.0000,"[-0.285, -0.070, -0.007, -0.095, 0.022, -0.096]","[-0.140, -0.027, 0.075, -0.006, 0.048, -0.041]","[-0.390, -0.103, -0.078, -0.180, -0.004, -0.160]"
7,1,-8.4921,-6.6219,1.525,314,772,35,56,0.988,55,0.00,107,1119.14,0,0,13.000(16.250%)(0.000m),37.000(32.647%)(1.821m),48.000(42.353%)(3.000m),51.907(45.800%)(3.419m),25.049(31.312%)(0.541m),10.000(25.000%)(0.000m),17.857(44.642%)(0.842m),659.550,5586.542,56.9,0.0000,"[-0.484, -0.237, -0.043, -0.122, 0.408, -0.129]","[0.093, 0.130, 0.240, 0.146, 0.607, 0.291]","[-0.922, -0.515, -0.288, -0.340, 0.110, -0.444]"
8,1,-6.0015,-6.5444,1.053,90,218,29,0,0.986,25,0.00,116,330.63,0,0,77.786(97.233%)(6.191m),110.000(97.059%)(9.643m),49.985(44.104%)(3.213m),20.577(18.156%)(0.062m),11.352(14.190%)(0.000m),40.000(100.000%)(3.214m),10.041(25.104%)(0.004m),3692.116,8661.480,56.1,0.0000,"[0.418, 0.164, 0.339, 0.237, 0.950, 0.569]","[0.626, 0.210, 0.412, 0.327, 1.041, 0.648]","[0.235, 0.079, 0.233, 0.073, 0.812, 0.469]"
9,1,-5.7681,-6.4581,1.166,94,230,19,0,0.984,25,0.00,126,337.93,0,0,78.639(98.299%)(6.283m),70.115(61.867%)(5.369m),22.810(20.127%)(0.301m),14.199(12.528%)(0.000m),9.678(12.097%)(0.000m),40.000(100.000%)(3.214m),11.498(28.746%)(0.161m),4506.506,7305.975,56.7,0.0000,"[0.941, 0.347, 0.472, 0.500, 1.285, 0.990]","[1.128, 0.414, 0.599, 0.665, 1.508, 1.156]","[0.171, 0.231, 0.071, -0.001, 0.526, 0.363]"
10,1,-5.2067,-6.3330,1.135,92,228,19,0,0.982,25,0.00,136,368.45,0,0,69.057(86.321%)(5.256m),52.727(46.524%)(3.506m),20.279(17.894%)(0.030m),13.107(11.565%)(0.000m),9.177(11.471%)(0.000m),40.000(100.000%)(3.214m),11.467(28.666%)(0.157m),3632.939,6259.233,57.4,5.4347,"[0.772, 0.544, 0.429, 0.622, 1.154, 1.011]","[1.153, 0.647, 0.624, 0.872, 1.401, 1.318]","[-0.723, 0.196, -0.125, -0.222, 0.213, -0.198]"
11,1,-5.9863,-6.3015,1.281,115,284,17,0,0.980,30,0.00,148,431.59,0,0,10.961(13.701%)(0.000m),18.832(16.617%)(0.000m),40.176(35.450%)(2.162m),93.000(82.059%)(7.821m),77.067(96.334%)(6.114m),10.310(25.776%)(0.033m),40.000(100.000%)(3.214m),3853.311,9556.939,57.2,0.0000,"[-0.753, 0.589, -0.102, 0.538, 0.702, -0.059]","[1.057, 0.739, 0.753, 1.203, 1.530, 1.362]","[-4.580, 0.055, -1.950, -0.826, -0.958, -3.002]"
12,1,-4.8134,-6.1775,0.860,191,487,17,12,0.978,45,0.00,168,792.93,0,0,24.000(30.000%)(0.429m),30.000(26.471%)(1.071m),49.000(43.235%)(3.107m),90.682(80.013%)(7.573m),48.877(61.096%)(3.094m),40.000(100.000%)(3.214m),37.781(94.452%)(2.977m),0.000,3016.191,59.0,0.0000,"[0.402, 0.574, 0.063, 0.564, 0.877, 0.591]","[1.424, 0.831, 0.696, 1.149, 1.446, 1.451]","[-1.850, -0.067, -1.474, -0.812, -0.400, -1.309]"
13,1,-5.9918,-6.1632,0.487,70,173,18,0,0.976,20,0.00,175,315.02,0,0,8.965(11.206%)(0.000m),12.640(11.153%)(0.000m),19.226(16.964%)(0.000m),46.791(41.286%)(2.870m),77.067(96.334%)(6.114m),11.491(28.727%)(0.160m),40.000(100.000%)(3.214m),3455.359,8822.285,57.3,1.1566,"[-0.825, 0.242, -0.637, 0.006, 0.320, -0.616]","[1.353, 0.865, 0.931, 1.179, 1.437, 1.212]","[-6.151, -1.262, -4.531, -2.814, -2.189, -5.127]"
