episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-6.8867,-6.8867,0.000,174,452,41,10,1.000,40,0.00,18,498.24,0,0,23.000(28.750%)(0.321m),19.000(16.765%)(0.000m),19.000(16.765%)(0.000m),100.242(88.449%)(8.597m),54.941(68.676%)(3.744m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,3055.911,60.1,0.0000,"[-0.086, -0.015, 0.006, 0.012, -0.045, -0.038]","[-0.082, -0.009, 0.020, 0.030, -0.039, -0.030]","[-0.088, -0.035, -0.003, 0.008, -0.058, -0.049]"
2,1,-6.3192,-6.6030,0.000,146,352,20,0,0.998,35,0.00,33,373.05,0,0,78.639(98.299%)(6.283m),96.000(84.706%)(8.143m),75.286(66.429%)(5.924m),25.818(22.780%)(0.623m),12.488(15.610%)(0.000m),40.000(100.000%)(3.214m),9.743(24.357%)(0.000m),3892.631,8960.794,55.9,0.0000,"[-0.086, -0.003, -0.005, 0.001, -0.042, -0.041]","[-0.083, 0.015, 0.008, 0.012, -0.029, -0.037]","[-0.088, -0.015, -0.015, -0.018, -0.048, -0.052]"
3,1,-6.3637,-6.5232,0.000,149,363,18,0,0.996,35,0.00,48,297.45,0,0,71.000(88.750%)(5.464m),84.000(74.118%)(6.857m),49.728(43.878%)(3.185m),20.433(18.029%)(0.046m),11.272(14.090%)(0.000m),40.000(100.000%)(3.214m),9.971(24.928%)(0.000m),4124.752,8787.348,56.4,0.0000,"[-0.085, -0.007, -0.003, 0.003, -0.041, -0.041]","[-0.082, 0.008, 0.008, 0.012, -0.026, -0.036]","[-0.087, -0.015, -0.016, -0.018, -0.048, -0.050]"
4,1,-6.2112,-6.4452,0.000,73,178,21,0,0.994,20,0.00,56,148.73,0,0,78.639(98.299%)(6.283m),95.787(84.518%)(8.120m),24.409(21.537%)(0.472m),14.555(12.843%)(0.000m),9.640(12.050%)(0.000m),40.000(100.000%)(3.214m),10.898(27.245%)(0.096m),4579.157,9170.914,56.3,0.0000,"[-0.085, -0.001, -0.005, -0.001, -0.036, -0.039]","[-0.082, 0.008, 0.008, 0.012, -0.018, -0.035]","[-0.087, -0.015, -0.017, -0.019, -0.048, -0.050]"
5,1,-5.0415,-6.1645,1.471,195,493,45,12,0.992,45,0.00,76,696.15,0,0,66.108(82.635%)(4.940m),20.000(17.647%)(0.000m),19.000(16.765%)(0.000m),20.000(17.647%)(0.000m),55.250(69.063%)(3.777m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,3328.090,58.5,4.5314,"[-0.086, -0.021, 0.007, 0.015, -0.053, -0.038]","[-0.081, -0.011, 0.025, 0.032, -0.044, -0.029]","[-0.091, -0.041, -0.003, 0.009, -0.075, -0.046]"
6,1,-5.5255,-6.0580,1.562,118,290,17,0,0.990,30,0.00,88,349.30,0,0,10.807(13.508%)(0.000m),17.704(15.622%)(0.000m),34.202(30.178%)(1.522m),95.000(83.824%)(8.036m),76.230(95.288%)(6.025m),10.807(27.016%)(0.086m),40.000(100.000%)(3.214m),4012.490,6946.502,56.9,0.0000,"[-0.084, -0.052, 0.008, 0.036, -0.085, -0.045]","[-0.067, -0.041, 0.017, 0.050, -0.073, -0.038]","[-0.089, -0.062, 0.003, 0.028, -0.098, -0.066]"
7,1,-5.4541,-5.9717,1.783,77,197,15,0,0.988,25,0.00,96,214.33,0,0,11.339(14.174%)(0.000m),20.553(18.135%)(0.059m),50.021(44.137%)(3.217m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),10.030(25.075%)(0.003m),40.000(100.000%)(3.214m),3824.118,7104.650,59.2,0.0000,"[-0.078, -0.065, 0.005, 0.042, -0.101, -0.054]","[-0.064, -0.060, 0.011, 0.052, -0.093, -0.045]","[-0.083, -0.068, -0.004, 0.035, -0.112, -0.071]"
8,1,-7.3244,-6.1408,1.722,224,549,28,0,0.986,45,0.00,119,664.80,0,0,10.137(12.672%)(0.000m),16.044(14.157%)(0.000m),29.079(25.658%)(0.973m),44.000(38.824%)(2.571m),38.000(47.500%)(1.929m),10.646(26.614%)(0.069m),40.000(100.000%)(3.214m),1213.187,4735.374,56.7,0.0000,"[-0.077, -0.081, -0.015, 0.042, -0.117, -0.063]","[-0.060, -0.068, 0.001, 0.058, -0.105, -0.052]","[-0.080, -0.098, -0.027, 0.035, -0.130, -0.096]"
9,1,-4.4934,-5.9578,1.427,256,662,11,74,0.984,50,0.00,145,794.34,0,0,12.000(15.000%)(0.000m),39.000(34.412%)(2.036m),62.000(54.706%)(4.500m),72.168(63.678%)(5.589m),34.950(43.687%)(1.602m),11.000(27.500%)(0.107m),25.104(62.759%)(1.618m),538.623,3746.266,59.8,0.0000,"[-0.078, -0.124, -0.032, 0.061, -0.133, -0.088]","[-0.073, -0.105, -0.020, 0.084, -0.123, -0.077]","[-0.087, -0.138, -0.049, 0.053, -0.149, -0.110]"
10,1,-6.9078,-6.0528,1.561,71,171,21,0,0.982,20,0.00,153,245.89,0,0,78.639(98.299%)(6.283m),104.243(91.980%)(9.026m),25.179(22.217%)(0.555m),14.839(13.093%)(0.000m),9.755(12.193%)(0.000m),40.000(100.000%)(3.214m),10.893(27.231%)(0.096m),4968.105,9103.311,55.8,0.0000,"[-0.081, -0.137, -0.049, 0.064, -0.130, -0.099]","[-0.077, -0.114, -0.038, 0.073, -0.121, -0.094]","[-0.085, -0.149, -0.053, 0.046, -0.139, -0.100]"
11,1,-5.7742,-6.0274,1.598,237,576,66,27,0.980,45,0.00,177,710.57,0,0,62.020(77.525%)(4.502m),21.000(18.529%)(0.107m),20.000(17.647%)(0.000m),46.000(40.588%)(2.786m),58.351(72.939%)(4.109m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2694.317,56.3,0.0000,"[-0.076, -0.166, -0.052, 0.085, -0.156, -0.112]","[-0.068, -0.154, -0.040, 0.092, -0.147, -0.096]","[-0.083, -0.179, -0.059, 0.078, -0.180, -0.132]"
12,1,-6.4691,-6.0642,1.734,101,244,22,0,0.978,25,0.00,188,338.28,0,0,10.397(12.997%)(0.000m),17.190(15.168%)(0.000m),33.807(29.830%)(1.479m),103.000(90.883%)(8.893m),77.067(96.334%)(6.114m),10.271(25.678%)(0.029m),40.000(100.000%)(3.214m),4083.523,8550.237,55.8,0.0000,"[-0.071, -0.187, -0.058, 0.110, -0.173, -0.124]","[-0.052, -0.169, -0.054, 0.115, -0.167, -0.118]","[-0.078, -0.194, -0.060, 0.105, -0.180, -0.140]"
13,1,-6.8387,-6.1238,1.378,174,436,16,0,0.976,40,0.00,206,565.58,0,0,10.582(13.227%)(0.000m),16.477(14.538%)(0.000m),29.040(25.624%)(0.969m),60.000(52.941%)(4.286m),49.000(61.250%)(3.107m),11.388(28.470%)(0.149m),40.000(100.000%)(3.214m),1741.437,5367.440,58.0,0.0000,"[-0.071, -0.205, -0.067, 0.122, -0.173, -0.140]","[-0.045, -0.185, -0.055, 0.131, -0.162, -0.133]","[-0.079, -0.215, -0.080, 0.115, -0.183, -0.155]"
14,1,-6.1995,-6.1292,1.376,115,277,16,0,0.974,30,0.00,218,364.88,0,0,77.786(97.233%)(6.191m),64.715(57.102%)(4.791m),22.073(19.476%)(0.222m),13.876(12.243%)(0.000m),9.523(11.904%)(0.000m),40.000(100.000%)(3.214m),11.457(28.643%)(0.156m),3918.497,7958.136,55.8,0.0000,"[-0.072, -0.217, -0.071, 0.125, -0.161, -0.158]","[-0.064, -0.176, -0.047, 0.136, -0.141, -0.151]","[-0.078, -0.225, -0.079, 0.085, -0.174, -0.172]"
15,1,-5.8609,-6.1113,1.531,151,370,34,0,0.972,35,0.00,234,499.73,0,0,11.674(14.593%)(0.000m),21.161(18.672%)(0.124m),51.501(45.442%)(3.375m),102.000(90.000%)(8.786m),67.000(83.750%)(5.036m),10.327(25.816%)(0.035m),40.000(100.000%)(3.214m),4524.501,9031.539,56.7,0.0000,"[-0.064, -0.220, -0.082, 0.131, -0.169, -0.152]","[-0.054, -0.198, -0.078, 0.140, -0.162, -0.148]","[-0.070, -0.233, -0.092, 0.112, -0.179, -0.160]"
16,1,-5.6196,-6.0806,1.849,101,247,17,0,0.970,30,0.00,245,323.64,0,0,78.639(98.299%)(6.283m),48.254(42.577%)(3.027m),19.827(17.494%)(0.000m),13.036(11.502%)(0.000m),9.245(11.557%)(0.000m),40.000(100.000%)(3.214m),11.850(29.625%)(0.198m),3863.259,7278.745,56.7,0.0000,"[-0.076, -0.233, -0.080, 0.117, -0.148, -0.165]","[-0.064, -0.184, -0.054, 0.131, -0.131, -0.159]","[-0.081, -0.242, -0.088, 0.071, -0.159, -0.185]"
17,1,-5.1276,-6.0245,1.588,202,519,46,0,0.968,45,0.00,266,604.66,0,0,35.000(43.750%)(1.607m),41.000(36.177%)(2.250m),50.000(44.118%)(3.214m),27.122(23.931%)(0.763m),12.825(16.031%)(0.000m),40.000(100.000%)(3.214m),9.752(24.380%)(0.000m),781.576,4866.302,59.4,0.8290,"[-0.077, -0.237, -0.087, 0.105, -0.153, -0.168]","[-0.063, -0.220, -0.068, 0.124, -0.133, -0.157]","[-0.085, -0.248, -0.098, 0.085, -0.174, -0.188]"
