episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-3.8899,-3.8899,0.000,133,364,15,0,1.000,35,0.00,14,515.95,0,0,47.000(58.750%)(2.893m),60.000(52.941%)(4.286m),22.683(20.015%)(0.288m),13.976(12.332%)(0.000m),9.460(11.825%)(0.000m),40.000(100.000%)(3.214m),11.100(27.750%)(0.118m),1049.397,3441.317,63.4,0.0000,"[-0.021, -0.096, 0.123, -0.059, 0.087, 0.029]","[-0.014, -0.086, 0.133, -0.045, 0.093, 0.034]","[-0.026, -0.112, 0.091, -0.068, 0.078, 0.024]"
2,1,-4.8156,-4.3527,0.000,167,431,19,0,0.998,40,0.00,31,493.17,0,0,42.000(52.500%)(2.357m),54.000(47.647%)(3.643m),26.830(23.674%)(0.732m),15.424(13.610%)(0.000m),9.985(12.481%)(0.000m),40.000(100.000%)(3.214m),10.878(27.195%)(0.094m),1127.304,4782.271,59.8,0.0000,"[-0.020, -0.099, 0.123, -0.060, 0.086, 0.031]","[-0.012, -0.086, 0.134, -0.050, 0.094, 0.038]","[-0.025, -0.122, 0.095, -0.068, 0.080, 0.026]"
3,1,-5.6585,-4.7880,0.000,284,722,82,24,0.996,55,0.00,60,723.08,0,0,14.515(18.143%)(0.000m),30.974(27.330%)(1.176m),80.281(70.837%)(6.459m),63.000(55.588%)(4.607m),11.000(13.750%)(0.000m),10.185(25.463%)(0.020m),12.000(30.000%)(0.214m),3106.178,7740.284,58.8,0.0000,"[-0.005, -0.116, 0.116, -0.074, 0.096, 0.027]","[0.005, -0.099, 0.131, -0.062, 0.103, 0.044]","[-0.019, -0.127, 0.103, -0.088, 0.082, 0.015]"
4,1,-3.5311,-4.4738,1.148,227,576,35,0,0.994,50,0.00,83,961.83,0,0,42.000(52.500%)(2.357m),75.000(66.177%)(5.893m),104.000(91.765%)(9.000m),28.083(24.779%)(0.866m),12.945(16.182%)(0.000m),40.000(100.000%)(3.214m),9.717(24.292%)(0.000m),3031.141,7460.211,58.7,0.0000,"[-0.030, -0.102, 0.119, -0.082, 0.102, 0.045]","[-0.018, -0.093, 0.132, -0.063, 0.120, 0.061]","[-0.049, -0.111, 0.099, -0.121, 0.088, 0.027]"
5,1,-4.3965,-4.4583,1.056,191,495,15,0,0.992,45,0.00,103,716.30,0,0,42.000(52.500%)(2.357m),59.000(52.059%)(4.179m),73.454(64.812%)(5.727m),26.134(23.059%)(0.657m),12.641(15.801%)(0.000m),40.000(100.000%)(3.214m),9.862(24.655%)(0.000m),1025.951,4370.711,60.0,0.0000,"[-0.063, -0.089, 0.127, -0.110, 0.153, 0.076]","[-0.051, -0.076, 0.138, -0.083, 0.168, 0.085]","[-0.078, -0.103, 0.100, -0.184, 0.139, 0.057]"
6,1,-5.6130,-4.6508,1.167,245,623,9,31,0.990,50,0.00,128,893.58,0,0,14.000(17.500%)(0.000m),31.000(27.353%)(1.179m),113.333(100.000%)(10.000m),66.330(58.526%)(4.964m),32.083(40.104%)(1.295m),10.000(25.000%)(0.000m),23.048(57.620%)(1.398m),3624.108,7960.321,58.8,0.0000,"[-0.073, -0.100, 0.112, -0.116, 0.187, 0.103]","[-0.051, -0.092, 0.130, -0.095, 0.199, 0.111]","[-0.080, -0.127, 0.078, -0.156, 0.170, 0.095]"
7,1,-6.4495,-4.9077,1.144,150,409,37,15,0.988,40,0.00,143,509.62,0,0,21.000(26.250%)(0.107m),19.000(16.765%)(0.000m),24.000(21.177%)(0.429m),48.000(42.353%)(3.000m),52.198(65.247%)(3.450m),27.995(69.989%)(1.928m),40.000(100.000%)(3.214m),0.000,4207.534,63.1,0.0000,"[-0.084, -0.087, 0.088, -0.109, 0.233, 0.133]","[-0.064, -0.058, 0.109, -0.085, 0.251, 0.145]","[-0.112, -0.100, 0.059, -0.145, 0.217, 0.115]"
8,1,-5.2472,-4.9502,0.973,91,233,18,0,0.986,25,0.00,153,327.35,0,0,9.478(11.848%)(0.000m),14.206(12.535%)(0.000m),23.556(20.785%)(0.381m),86.070(75.945%)(7.079m),76.230(95.288%)(6.025m),10.849(27.122%)(0.091m),40.000(100.000%)(3.214m),2801.011,6078.808,59.3,0.0000,"[-0.063, -0.089, 0.074, -0.053, 0.270, 0.149]","[-0.039, -0.076, 0.091, -0.022, 0.276, 0.167]","[-0.082, -0.103, 0.060, -0.067, 0.253, 0.125]"
9,1,-5.1177,-4.9688,1.451,89,235,19,0,0.984,25,0.00,162,290.90,0,0,78.639(98.299%)(6.283m),93.381(82.395%)(7.862m),23.796(20.996%)(0.407m),14.189(12.520%)(0.000m),9.398(11.747%)(0.000m),40.000(100.000%)(3.214m),10.624(26.561%)(0.067m),2310.280,5781.098,61.0,0.0000,"[-0.097, -0.074, 0.069, -0.161, 0.252, 0.131]","[-0.071, -0.072, 0.082, -0.044, 0.291, 0.172]","[-0.129, -0.079, 0.051, -0.302, 0.169, 0.076]"
10,1,-4.0522,-4.8771,1.390,248,607,57,36,0.982,50,0.00,187,937.05,0,0,9.180(11.476%)(0.000m),12.338(10.887%)(0.000m),17.679(15.599%)(0.000m),25.000(22.059%)(0.536m),22.000(27.500%)(0.214m),13.064(32.660%)(0.328m),40.000(100.000%)(3.214m),39.422,3640.579,56.7,0.0000,"[-0.067, -0.084, 0.054, -0.084, 0.325, 0.144]","[-0.019, -0.074, 0.067, 0.001, 0.356, 0.168]","[-0.094, -0.121, 0.037, -0.166, 0.246, 0.079]"
