episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-4.0438,-4.0438,0.000,184,478,21,5,1.000,45,0.00,19,890.70,0,0,9.985(12.481%)(0.000m),14.649(12.926%)(0.000m),23.534(20.766%)(0.379m),40.000(35.294%)(2.143m),33.000(41.250%)(1.393m),11.863(29.658%)(0.200m),40.000(100.000%)(3.214m),499.340,3491.922,60.1,0.0000,"[-0.150, 0.006, -0.045, -0.133, 0.038, -0.060]","[-0.139, 0.012, -0.041, -0.106, 0.053, -0.044]","[-0.153, -0.005, -0.053, -0.144, 0.020, -0.071]"
2,1,-5.6678,-4.8558,0.000,69,170,17,0,0.998,20,0.00,26,231.73,0,0,8.666(10.833%)(0.000m),11.581(10.219%)(0.000m),16.484(14.545%)(0.000m),32.420(28.606%)(1.331m),77.067(96.334%)(6.114m),12.499(31.247%)(0.268m),40.000(100.000%)(3.214m),3845.482,7910.439,57.1,0.0000,"[-0.153, 0.004, -0.046, -0.133, 0.032, -0.056]","[-0.141, 0.008, -0.044, -0.112, 0.041, -0.046]","[-0.159, -0.007, -0.051, -0.144, 0.020, -0.062]"
3,1,-4.4454,-4.7190,0.000,184,487,16,11,0.996,45,0.00,45,646.59,0,0,29.000(36.250%)(0.964m),40.000(35.294%)(2.143m),34.539(30.476%)(1.558m),17.879(15.775%)(0.000m),10.913(13.641%)(0.000m),40.000(100.000%)(3.214m),10.913(27.282%)(0.098m),476.125,4080.290,61.3,0.0000,"[-0.148, 0.004, -0.045, -0.131, 0.042, -0.063]","[-0.133, 0.009, -0.040, -0.111, 0.054, -0.055]","[-0.156, -0.014, -0.055, -0.144, 0.037, -0.067]"
4,1,-4.6846,-4.7104,0.000,116,291,19,0,0.994,30,0.00,57,411.77,0,0,77.786(97.233%)(6.191m),92.000(81.177%)(7.714m),42.368(37.383%)(2.397m),19.403(17.120%)(0.000m),11.178(13.973%)(0.000m),40.000(100.000%)(3.214m),10.387(25.968%)(0.041m),2811.575,6283.449,58.1,0.0000,"[-0.148, 0.006, -0.046, -0.134, 0.046, -0.064]","[-0.135, 0.011, -0.044, -0.118, 0.055, -0.060]","[-0.152, -0.018, -0.054, -0.144, 0.039, -0.070]"
5,1,-6.3065,-5.0296,1.735,106,256,16,0,0.992,30,0.00,68,569.24,0,0,77.786(97.233%)(6.191m),105.000(92.647%)(9.107m),51.134(45.118%)(3.336m),21.010(18.538%)(0.108m),11.591(14.489%)(0.000m),40.000(100.000%)(3.214m),10.253(25.632%)(0.027m),4186.479,8884.843,55.9,0.0000,"[-0.147, -0.016, -0.061, -0.117, 0.060, -0.091]","[-0.136, 0.012, -0.044, -0.038, 0.122, -0.061]","[-0.152, -0.135, -0.122, -0.144, 0.039, -0.201]"
6,1,-4.1011,-4.8749,1.705,162,408,23,0,0.990,40,0.00,85,723.40,0,0,11.699(14.623%)(0.000m),21.205(18.710%)(0.129m),51.608(45.537%)(3.387m),78.000(68.824%)(6.214m),57.000(71.250%)(3.964m),10.348(25.870%)(0.037m),40.000(100.000%)(3.214m),2399.291,5534.267,58.2,0.0000,"[-0.107, -0.411, -0.180, 0.235, 0.403, -0.651]","[-0.031, -0.138, -0.037, 0.411, 0.558, -0.305]","[-0.154, -0.536, -0.245, -0.004, 0.191, -0.815]"
7,1,-6.2428,-5.0703,1.453,101,245,16,0,0.988,30,0.00,96,441.91,0,0,78.639(98.299%)(6.283m),46.704(41.210%)(2.861m),19.770(17.444%)(0.000m),13.105(11.564%)(0.000m),9.353(11.692%)(0.000m),40.000(100.000%)(3.214m),12.143(30.358%)(0.230m),4166.105,7853.521,56.1,0.0000,"[0.119, -0.616, 0.114, 0.602, 0.582, -0.527]","[0.161, -0.561, 0.203, 0.644, 0.607, -0.368]","[0.055, -0.811, 0.007, 0.569, 0.561, -0.736]"
8,1,-6.5362,-5.2535,1.405,71,175,17,0,0.986,20,0.00,104,334.14,0,0,78.639(98.299%)(6.283m),45.458(40.110%)(2.728m),19.242(16.979%)(0.000m),12.756(11.255%)(0.000m),9.104(11.380%)(0.000m),40.000(100.000%)(3.214m),11.819(29.548%)(0.195m),3455.359,9347.746,57.2,0.0000,"[0.253, -0.554, 0.292, 0.596, 0.654, -0.203]","[0.292, -0.452, 0.326, 0.651, 0.697, -0.143]","[0.215, -0.798, 0.259, 0.456, 0.616, -0.380]"
9,1,-6.3393,-5.3742,1.770,186,477,30,13,0.984,45,0.00,123,839.04,0,0,55.195(68.994%)(3.771m),105.851(93.398%)(9.198m),20.000(17.647%)(0.000m),21.000(18.529%)(0.107m),52.358(65.448%)(3.467m),40.000(100.000%)(3.214m),38.385(95.963%)(3.041m),0.000,3000.355,59.3,3.4109,"[0.551, -0.289, 0.464, 0.404, 1.012, 0.019]","[0.770, -0.125, 0.673, 0.526, 1.299, 0.199]","[0.367, -0.615, 0.327, 0.281, 0.752, -0.480]"
10,1,-9.9874,-5.8355,1.086,249,602,27,17,0.982,50,0.00,148,1044.21,0,0,51.749(64.686%)(3.402m),30.000(26.471%)(1.071m),23.000(20.294%)(0.321m),20.000(17.647%)(0.000m),21.000(26.250%)(0.107m),40.000(100.000%)(3.214m),23.085(57.713%)(1.402m),0.000,9662.460,56.0,0.0000,"[0.979, -0.035, 0.979, 0.741, 1.402, 0.456]","[1.172, 0.445, 1.421, 1.204, 1.553, 0.993]","[0.486, -2.385, 0.588, -0.687, 0.888, -2.205]"
11,1,-3.8170,-5.6520,0.492,220,585,17,42,0.980,50,0.00,170,992.53,0,0,25.000(31.250%)(0.536m),51.000(45.000%)(3.321m),32.733(28.883%)(1.364m),16.944(14.951%)(0.000m),10.342(12.928%)(0.000m),20.000(50.000%)(1.071m),10.342(25.856%)(0.037m),1323.872,5065.969,61.6,1.2404,"[0.916, 0.069, 1.030, 0.796, 1.292, 0.663]","[1.613, 1.521, 1.596, 2.026, 1.986, 2.227]","[-0.974, -6.488, -0.171, -4.050, -0.502, -5.400]"
12,1,-6.3181,-5.7075,0.417,93,228,19,0,0.978,25,0.00,180,422.11,0,0,9.811(12.263%)(0.000m),14.495(12.789%)(0.000m),23.525(20.757%)(0.378m),76.162(67.202%)(6.017m),76.230(95.288%)(6.025m),11.512(28.779%)(0.162m),40.000(100.000%)(3.214m),3147.692,8241.760,56.8,0.0000,"[1.215, 0.807, 1.567, 1.337, 1.736, 1.009]","[1.871, 2.247, 2.060, 2.208, 2.356, 2.543]","[-1.129, -5.548, -0.069, -2.546, -0.146, -5.743]"
13,1,-8.4232,-5.9164,0.396,241,583,36,22,0.976,50,0.00,205,1066.16,0,0,73.210(91.513%)(5.701m),21.000(18.529%)(0.107m),20.000(17.647%)(0.000m),96.089(84.785%)(8.152m),46.477(58.096%)(2.837m),40.000(100.000%)(3.214m),33.743(84.359%)(2.544m),0.000,3843.510,56.0,0.0000,"[1.275, 1.225, 1.352, 1.517, 1.686, 1.459]","[1.978, 2.283, 2.127, 2.406, 2.482, 2.453]","[-1.444, -3.007, -0.898, -1.601, -0.939, -2.497]"
14,1,-7.4663,-6.0271,0.417,225,555,66,18,0.974,45,0.00,228,949.56,0,0,20.449(25.562%)(0.048m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),21.000(18.529%)(0.107m),74.372(92.965%)(5.826m),14.485(36.212%)(0.481m),40.000(100.000%)(3.214m),0.000,8679.055,57.1,1.5778,"[-0.245, -0.353, 0.041, 0.160, 0.184, -0.283]","[1.894, 2.332, 1.944, 2.275, 2.360, 2.466]","[-3.823, -4.924, -3.388, -4.012, -3.614, -4.489]"
15,1,-3.7701,-5.8766,0.439,213,566,21,31,0.972,50,0.00,250,911.37,0,0,11.651(14.564%)(0.000m),21.119(18.634%)(0.120m),51.398(45.352%)(3.364m),48.000(42.353%)(3.000m),26.000(32.500%)(0.643m),10.306(25.765%)(0.033m),25.000(62.500%)(1.607m),1583.252,5172.781,61.5,1.0630,"[-0.143, 0.142, 0.131, 0.166, 0.148, -0.220]","[1.692, 2.102, 1.749, 1.868, 2.070, 1.622]","[-3.642, -4.823, -4.034, -3.431, -3.743, -5.227]"
16,1,-6.2820,-5.9020,0.411,159,385,24,0,0.970,35,0.00,266,681.39,0,0,60.064(75.079%)(4.293m),79.000(69.706%)(6.321m),34.164(30.145%)(1.518m),17.685(15.604%)(0.000m),10.794(13.493%)(0.000m),40.000(100.000%)(3.214m),10.794(26.986%)(0.085m),2344.447,6224.889,56.0,0.0000,"[0.313, 0.636, 0.816, 0.511, 0.833, 0.651]","[2.323, 2.634, 2.623, 2.422, 3.013, 2.401]","[-5.866, -6.249, -4.699, -5.759, -5.756, -5.451]"
17,1,-6.5111,-5.9378,0.413,86,207,20,0,0.968,25,0.00,275,361.93,0,0,78.639(98.299%)(6.283m),112.000(98.824%)(9.857m),42.536(37.532%)(2.415m),19.480(17.188%)(0.000m),11.223(14.029%)(0.000m),40.000(100.000%)(3.214m),10.428(26.071%)(0.046m),4961.416,9099.403,55.8,0.7609,"[-1.362, -0.926, -0.527, -1.091, -0.950, -0.627]","[1.991, 2.391, 2.325, 2.156, 2.610, 2.142]","[-6.241, -6.547, -4.942, -6.116, -6.136, -5.660]"
18,1,-3.2716,-5.7897,0.309,252,619,67,19,0.967,50,0.00,301,1094.56,0,0,9.321(11.651%)(0.000m),13.870(12.238%)(0.000m),22.748(20.072%)(0.294m),33.000(29.118%)(1.393m),29.000(36.250%)(0.964m),10.802(27.005%)(0.086m),40.000(100.000%)(3.214m),346.343,3544.551,56.9,1.1606,"[0.017, 0.216, 0.170, -0.032, 0.271, -0.063]","[2.146, 2.459, 2.459, 2.091, 2.680, 2.034]","[-4.057, -6.022, -6.391, -4.677, -5.336, -6.874]"
19,1,-3.7691,-5.6833,0.236,196,486,15,0,0.965,45,0.00,321,858.37,0,0,49.000(61.250%)(3.107m),60.000(52.941%)(4.286m),49.422(43.608%)(3.152m),20.307(17.918%)(0.033m),11.203(14.004%)(0.000m),40.000(100.000%)(3.214m),9.910(24.774%)(0.000m),2620.376,5952.566,57.4,0.8350,"[-0.539, -0.174, 0.180, -0.352, 0.101, 0.118]","[1.927, 2.181, 2.152, 2.045, 2.587, 1.880]","[-5.830, -5.469, -4.057, -5.465, -4.826, -4.219]"
20,1,-5.3066,-5.6645,0.216,99,244,16,0,0.963,30,0.00,331,404.91,0,0,12.427(15.534%)(0.000m),25.309(22.332%)(0.569m),67.125(59.228%)(5.049m),106.000(93.530%)(9.214m),77.067(96.334%)(6.114m),9.820(24.551%)(0.000m),40.000(100.000%)(3.214m),3430.141,8889.614,57.0,0.0000,"[-0.143, -0.761, -1.250, -0.131, -0.630, -1.442]","[1.619, 1.730, 1.918, 1.777, 2.141, 1.648]","[-1.926, -3.393, -4.254, -2.008, -3.316, -4.272]"
21,1,-7.4981,-5.7518,0.227,179,435,23,0,0.961,40,0.00,349,788.93,0,0,9.584(11.980%)(0.000m),14.365(12.675%)(0.000m),23.820(21.017%)(0.409m),66.000(58.235%)(4.929m),52.105(65.131%)(3.440m),10.970(27.425%)(0.104m),37.948(94.871%)(2.994m),2405.410,5041.701,56.3,0.0000,"[-0.314, -0.279, -0.246, -0.252, -0.039, -0.122]","[1.590, 1.814, 1.670, 1.634, 2.103, 1.609]","[-2.938, -5.241, -5.666, -3.289, -4.880, -5.726]"
