episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-7.2463,-7.2463,0.000,203,499,19,0,1.000,45,0.00,21,947.27,0,0,49.000(61.250%)(3.107m),63.000(55.588%)(4.607m),22.187(19.577%)(0.234m),13.671(12.062%)(0.000m),9.253(11.566%)(0.000m),37.570(93.925%)(2.954m),10.857(27.143%)(0.092m),1492.806,4415.321,56.9,0.0000,"[-0.021, -0.126, -0.048, 0.087, 0.165, 0.024]","[-0.014, -0.104, -0.040, 0.091, 0.170, 0.033]","[-0.025, -0.135, -0.060, 0.082, 0.160, 0.009]"
2,1,-5.5943,-6.4203,0.000,90,220,14,0,0.998,25,0.00,30,317.03,0,0,12.451(15.564%)(0.000m),25.742(22.714%)(0.615m),66.817(58.956%)(5.016m),113.000(99.706%)(9.964m),77.067(96.334%)(6.114m),9.715(24.286%)(0.000m),40.000(100.000%)(3.214m),5017.626,9324.315,56.5,0.0000,"[-0.025, -0.123, -0.041, 0.090, 0.170, 0.039]","[-0.021, -0.111, -0.026, 0.095, 0.179, 0.048]","[-0.026, -0.129, -0.049, 0.086, 0.166, 0.026]"
3,1,-6.1542,-6.3316,0.000,154,380,62,0,0.996,35,0.00,46,523.76,0,0,64.000(80.000%)(4.714m),80.000(70.588%)(6.429m),40.837(36.033%)(2.233m),18.702(16.502%)(0.000m),10.775(13.468%)(0.000m),40.000(100.000%)(3.214m),10.012(25.030%)(0.001m),3945.443,8842.764,57.1,0.0000,"[-0.020, -0.120, -0.054, 0.085, 0.164, 0.018]","[-0.017, -0.105, -0.047, 0.089, 0.169, 0.026]","[-0.022, -0.128, -0.061, 0.078, 0.159, 0.011]"
4,1,-6.8088,-6.4509,1.326,191,485,24,18,0.994,45,0.00,66,908.96,0,0,53.617(67.021%)(3.602m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),21.000(18.529%)(0.107m),75.119(93.898%)(5.906m),38.994(97.484%)(3.106m),40.000(100.000%)(3.214m),0.000,2837.251,58.7,0.0000,"[-0.023, -0.129, -0.046, 0.084, 0.166, 0.025]","[-0.017, -0.110, -0.036, 0.088, 0.172, 0.061]","[-0.047, -0.145, -0.057, 0.017, 0.160, 0.013]"
5,1,-6.7123,-6.5032,1.418,71,171,17,0,0.992,20,0.00,74,334.43,0,0,8.961(11.202%)(0.000m),12.635(11.149%)(0.000m),19.218(16.957%)(0.000m),46.772(41.269%)(2.868m),77.067(96.334%)(6.114m),11.486(28.715%)(0.159m),40.000(100.000%)(3.214m),5164.863,9548.283,55.8,0.0000,"[-0.134, -0.114, -0.109, -0.114, 0.219, 0.093]","[-0.091, -0.096, -0.095, -0.021, 0.248, 0.108]","[-0.170, -0.139, -0.119, -0.215, 0.186, 0.076]"
6,1,-4.6882,-6.2007,1.432,241,583,28,18,0.990,50,0.00,99,1039.91,0,0,26.000(32.500%)(0.643m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),85.878(75.775%)(7.058m),46.758(58.448%)(2.867m),40.000(100.000%)(3.214m),34.196(85.490%)(2.592m),0.000,4591.143,56.0,0.0000,"[-0.294, -0.031, 0.002, -0.374, 0.653, 0.383]","[0.011, 0.154, 0.252, -0.100, 0.920, 0.642]","[-0.461, -0.129, -0.162, -0.568, 0.344, 0.147]"
7,1,-6.0500,-6.1791,1.761,106,264,18,0,0.988,30,0.00,110,488.15,0,0,78.639(98.299%)(6.283m),102.000(90.000%)(8.786m),38.675(34.125%)(2.001m),18.532(16.351%)(0.000m),10.894(13.617%)(0.000m),40.000(100.000%)(3.214m),10.374(25.934%)(0.040m),3141.700,8030.350,57.6,0.0000,"[0.078, 0.406, 0.536, -0.112, 1.231, 0.799]","[0.167, 0.522, 0.706, 0.013, 1.437, 0.849]","[-0.093, 0.301, 0.362, -0.699, 1.063, 0.738]"
8,1,-4.5709,-5.9781,1.408,110,288,23,0,0.986,30,0.00,121,466.35,0,0,11.126(13.907%)(0.000m),20.166(17.794%)(0.018m),49.080(43.306%)(3.116m),107.000(94.412%)(9.321m),71.000(88.750%)(5.464m),9.841(24.603%)(0.000m),40.000(100.000%)(3.214m),2761.140,6696.733,60.5,0.0000,"[0.467, 0.600, 0.875, 0.319, 1.380, 0.889]","[0.503, 0.875, 0.926, 0.554, 1.517, 1.051]","[0.322, -0.278, 0.774, -0.713, 1.118, 0.495]"
9,1,-3.8064,-5.7368,1.174,285,775,21,44,0.984,60,0.00,150,1206.06,0,0,11.331(14.164%)(0.000m),20.539(18.122%)(0.058m),49.986(44.106%)(3.213m),47.000(41.471%)(2.893m),26.000(32.500%)(0.643m),10.023(25.057%)(0.002m),20.000(50.000%)(1.071m),1383.960,4388.470,62.9,5.3135,"[0.765, 0.551, 1.006, 0.593, 1.422, 0.778]","[1.129, 1.465, 1.334, 1.615, 1.780, 1.535]","[-0.394, -2.158, 0.520, -2.594, 0.870, -1.129]"
10,1,-6.7275,-5.8359,0.721,155,373,19,0,0.982,35,0.00,166,675.43,0,0,72.000(90.000%)(5.571m),82.000(72.353%)(6.643m),29.099(25.675%)(0.975m),16.285(14.370%)(0.000m),10.375(12.969%)(0.000m),40.000(100.000%)(3.214m),11.029(27.573%)(0.110m),2997.518,7054.665,55.7,0.0000,"[1.199, 2.004, 1.755, 1.924, 2.241, 2.053]","[2.110, 2.458, 2.049, 2.910, 2.491, 2.503]","[-3.554, -0.456, 0.666, -3.200, 1.441, -0.004]"
11,1,-6.8613,-5.9291,0.627,77,184,18,0,0.980,25,0.00,174,330.44,0,0,9.295(11.618%)(0.000m),13.105(11.563%)(0.000m),19.933(17.588%)(0.000m),48.511(42.804%)(3.055m),77.067(96.334%)(6.114m),11.913(29.783%)(0.205m),40.000(100.000%)(3.214m),4777.868,9407.485,55.4,0.0000,"[1.335, 0.839, 1.201, 1.055, 1.595, 0.882]","[2.150, 2.298, 1.844, 2.516, 2.280, 2.279]","[-1.261, -3.437, 0.076, -3.656, 0.302, -2.399]"
12,1,-5.2455,-5.8721,0.581,118,293,18,0,0.978,30,0.00,186,524.82,0,0,10.601(13.251%)(0.000m),17.690(15.609%)(0.000m),35.451(31.280%)(1.655m),100.000(88.236%)(8.571m),76.230(95.288%)(6.025m),10.345(25.862%)(0.037m),40.000(100.000%)(3.214m),3144.754,7511.007,57.6,0.0000,"[1.550, 0.848, 1.256, 1.164, 1.606, 0.920]","[2.385, 2.558, 2.188, 2.785, 2.669, 2.617]","[-0.934, -3.357, -0.436, -3.372, -0.444, -2.654]"
13,1,-4.5785,-5.7726,0.450,192,480,106,0,0.976,45,0.00,206,847.37,0,0,12.650(15.813%)(0.000m),26.154(23.077%)(0.659m),85.692(75.611%)(7.038m),78.000(68.824%)(6.214m),48.000(60.000%)(3.000m),9.870(24.675%)(0.000m),40.000(100.000%)(3.214m),3222.748,9105.388,57.9,0.0000,"[0.939, -0.148, 0.250, 0.213, 0.654, -0.379]","[2.321, 2.500, 2.061, 2.830, 2.540, 2.672]","[-0.021, -1.672, -0.833, -1.353, -0.448, -2.033]"
14,1,-7.8045,-5.9178,0.502,216,534,18,0,0.974,45,0.00,228,964.95,0,0,39.000(48.750%)(2.036m),43.000(37.941%)(2.464m),24.243(21.391%)(0.455m),14.456(12.755%)(0.000m),9.574(11.968%)(0.000m),35.230(88.076%)(2.703m),10.824(27.060%)(0.088m),1049.316,4288.646,57.2,0.0000,"[1.297, 1.545, 1.382, 1.563, 1.804, 1.558]","[2.683, 2.857, 2.434, 2.967, 3.218, 3.033]","[-7.567, -3.102, -2.059, -6.085, -1.675, -2.248]"
15,1,-5.7774,-5.9084,0.398,152,373,22,0,0.972,35,0.00,244,663.59,0,0,67.000(83.750%)(5.036m),85.000(75.000%)(6.964m),51.364(45.321%)(3.360m),21.105(18.622%)(0.118m),11.643(14.554%)(0.000m),40.000(100.000%)(3.214m),10.299(25.748%)(0.032m),3206.959,6704.719,56.7,1.4978,"[0.920, 1.658, 1.498, 1.490, 1.976, 2.037]","[2.712, 2.747, 2.510, 2.926, 3.128, 3.166]","[-5.886, -2.754, -2.145, -4.525, -2.119, -1.935]"
16,1,-7.1862,-5.9883,0.500,96,232,21,0,0.970,25,0.00,254,396.12,0,0,78.639(98.299%)(6.283m),112.000(98.824%)(9.857m),40.991(36.169%)(2.249m),18.772(16.564%)(0.000m),10.815(13.519%)(0.000m),40.000(100.000%)(3.214m),10.050(25.124%)(0.005m),4769.714,9543.932,56.0,1.2925,"[-0.261, 0.888, 0.856, 0.490, 1.030, 1.322]","[2.555, 2.762, 2.637, 2.955, 3.078, 3.131]","[-6.636, -4.070, -2.924, -5.631, -3.282, -2.696]"
