episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-7.2645,-7.2645,0.000,256,632,19,22,1.000,85,0.00,26,290.31,0,0,24.000(30.000%)(0.429m),36.000(31.765%)(1.714m),26.843(23.685%)(0.733m),15.230(13.438%)(0.000m),9.781(12.226%)(0.000m),40.000(100.000%)(3.214m),10.526(26.316%)(0.056m),2274.062,4158.159,57.1,0.0000,"[0.040, -0.006, -0.006, -0.116, -0.135, -0.006]","[0.056, 0.002, -0.002, -0.108, -0.130, 0.006]","[0.021, -0.018, -0.009, -0.136, -0.144, -0.011]"
2,1,-6.0805,-6.6725,0.000,193,482,16,0,0.998,80,0.00,46,140.46,0,0,47.000(58.750%)(2.893m),74.000(65.294%)(5.786m),36.667(32.354%)(1.786m),17.939(15.829%)(0.000m),10.648(13.311%)(0.000m),40.000(100.000%)(3.214m),10.265(25.663%)(0.028m),4126.820,5259.189,57.8,3.8336,"[0.037, -0.008, -0.006, -0.120, -0.137, -0.006]","[0.050, -0.005, -0.002, -0.115, -0.129, 0.000]","[0.028, -0.013, -0.009, -0.130, -0.145, -0.012]"
3,1,-6.6294,-6.6581,0.000,133,322,17,0,0.996,65,0.00,60,94.77,0,0,10.898(13.622%)(0.000m),18.359(16.199%)(0.000m),37.525(33.111%)(1.878m),92.000(81.177%)(7.714m),76.230(95.288%)(6.025m),10.505(26.263%)(0.054m),40.000(100.000%)(3.214m),4427.534,5480.853,56.1,0.0000,"[0.049, -0.006, 0.000, -0.110, -0.129, -0.003]","[0.057, -0.002, 0.006, -0.102, -0.097, 0.005]","[0.039, -0.016, -0.004, -0.116, -0.138, -0.006]"
4,1,-4.1828,-6.0393,0.000,136,363,15,0,0.994,70,0.00,74,154.66,0,0,10.820(13.525%)(0.000m),18.407(16.241%)(0.000m),38.415(33.895%)(1.973m),86.000(75.883%)(7.071m),53.000(66.250%)(3.536m),10.304(25.759%)(0.033m),40.000(100.000%)(3.214m),3287.732,4728.271,61.7,0.0000,"[0.054, -0.006, -0.001, -0.107, -0.132, -0.005]","[0.069, -0.003, 0.003, -0.092, -0.106, 0.005]","[0.039, -0.013, -0.004, -0.116, -0.139, -0.007]"
5,1,-6.5118,-6.1338,0.000,75,184,25,0,0.992,50,0.00,82,52.71,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),39.186(34.576%)(2.056m),18.368(16.207%)(0.000m),10.691(13.363%)(0.000m),40.000(100.000%)(3.214m),10.056(25.141%)(0.006m),5133.766,5650.314,56.9,0.0000,"[0.031, -0.008, -0.006, -0.121, -0.135, -0.004]","[0.039, -0.005, -0.002, -0.115, -0.130, 0.003]","[0.024, -0.016, -0.010, -0.134, -0.143, -0.008]"
6,1,-5.6516,-6.0534,0.000,80,199,16,0,0.990,55,0.00,90,57.46,0,0,10.062(12.577%)(0.000m),15.192(13.405%)(0.000m),25.477(22.480%)(0.587m),99.978(88.216%)(8.569m),77.067(96.334%)(6.114m),11.375(28.437%)(0.147m),40.000(100.000%)(3.214m),4086.138,4806.782,57.4,0.0000,"[0.049, -0.006, -0.001, -0.110, -0.128, -0.004]","[0.056, -0.002, 0.000, -0.101, -0.097, 0.007]","[0.039, -0.016, -0.004, -0.116, -0.140, -0.008]"
7,1,-5.4460,-5.9667,0.000,76,190,19,0,0.988,50,0.00,98,52.90,0,0,9.305(11.632%)(0.000m),13.652(12.046%)(0.000m),21.933(19.352%)(0.207m),67.418(59.486%)(5.080m),77.067(96.334%)(6.114m),11.056(27.640%)(0.113m),40.000(100.000%)(3.214m),3435.499,4354.912,57.9,0.0000,"[0.049, -0.006, -0.001, -0.110, -0.129, -0.004]","[0.055, -0.002, 0.005, -0.103, -0.101, 0.010]","[0.039, -0.018, -0.004, -0.116, -0.141, -0.009]"
8,1,-5.5012,-5.9085,0.000,112,280,23,0,0.986,65,0.00,110,101.62,0,0,10.117(12.646%)(0.000m),16.284(14.369%)(0.000m),30.428(26.848%)(1.117m),91.000(80.294%)(7.607m),77.067(96.334%)(6.114m),10.367(25.917%)(0.039m),40.000(100.000%)(3.214m),2537.943,4288.508,57.9,0.0000,"[0.049, -0.006, -0.001, -0.111, -0.131, -0.005]","[0.056, -0.001, 0.000, -0.102, -0.096, 0.005]","[0.039, -0.017, -0.004, -0.116, -0.142, -0.009]"
9,1,-5.2773,-5.8383,0.000,196,503,0,12,0.984,80,0.00,130,138.06,0,0,38.409(48.011%)(1.972m),77.436(68.326%)(6.154m),81.000(71.471%)(6.536m),29.000(25.588%)(0.964m),17.000(21.250%)(0.000m),27.686(69.215%)(1.895m),40.000(100.000%)(3.214m),1602.283,4070.150,59.4,0.0000,"[0.048, -0.004, -0.001, -0.112, -0.136, -0.006]","[0.058, -0.001, 0.002, -0.104, -0.132, -0.000]","[0.037, -0.008, -0.017, -0.120, -0.140, -0.020]"
10,1,-6.4599,-5.9005,0.000,159,409,19,0,0.982,75,0.00,146,114.16,0,0,9.949(12.436%)(0.000m),15.021(13.254%)(0.000m),25.191(22.227%)(0.556m),60.000(52.941%)(4.286m),51.000(63.750%)(3.321m),11.247(28.118%)(0.134m),40.000(100.000%)(3.214m),1093.290,3472.813,59.5,0.0000,"[0.044, -0.006, -0.005, -0.112, -0.132, -0.006]","[0.061, 0.001, 0.000, -0.103, -0.097, 0.007]","[0.032, -0.016, -0.008, -0.117, -0.143, -0.012]"
11,1,-8.2277,-6.1121,0.000,185,460,22,0,0.980,75,0.00,165,131.36,0,0,9.534(11.918%)(0.000m),13.892(12.258%)(0.000m),22.100(19.500%)(0.225m),62.000(54.706%)(4.500m),40.929(51.162%)(2.242m),11.471(28.677%)(0.158m),29.658(74.146%)(2.106m),1505.113,3935.849,57.6,0.0000,"[0.040, -0.006, -0.005, -0.114, -0.132, -0.005]","[0.058, -0.001, 0.004, -0.100, -0.101, 0.010]","[0.030, -0.015, -0.009, -0.120, -0.143, -0.011]"
12,1,-6.3475,-6.1317,0.000,184,448,32,0,0.978,75,0.00,184,133.35,0,0,56.000(70.000%)(3.857m),84.000(74.118%)(6.857m),51.561(45.495%)(3.382m),21.186(18.693%)(0.127m),11.688(14.610%)(0.000m),40.000(100.000%)(3.214m),10.339(25.846%)(0.036m),2626.648,4576.534,56.3,0.0000,"[0.033, -0.010, -0.007, -0.122, -0.136, -0.006]","[0.045, -0.004, -0.004, -0.113, -0.130, 0.000]","[0.024, -0.017, -0.009, -0.137, -0.144, -0.009]"
13,1,-5.6376,-6.0937,0.000,120,306,23,0,0.976,65,0.00,196,86.60,0,0,72.000(90.000%)(5.571m),86.000(75.883%)(7.071m),49.334(43.530%)(3.143m),20.271(17.886%)(0.029m),11.183(13.979%)(0.000m),40.000(100.000%)(3.214m),9.892(24.730%)(0.000m),2060.668,4258.019,59.0,0.0000,"[0.037, -0.008, -0.006, -0.120, -0.138, -0.006]","[0.050, -0.004, -0.004, -0.115, -0.135, 0.001]","[0.026, -0.016, -0.009, -0.134, -0.142, -0.012]"
14,1,-5.9960,-6.0867,0.000,125,307,17,0,0.974,65,0.00,209,90.91,0,0,78.639(98.299%)(6.283m),93.000(82.059%)(7.821m),40.591(35.816%)(2.206m),19.027(16.788%)(0.000m),11.074(13.842%)(0.000m),40.000(100.000%)(3.214m),10.417(26.042%)(0.045m),3424.053,4472.724,56.9,0.0000,"[0.033, -0.009, -0.007, -0.120, -0.136, -0.005]","[0.045, -0.005, -0.003, -0.114, -0.129, 0.003]","[0.024, -0.015, -0.010, -0.134, -0.144, -0.007]"
15,1,-8.1488,-6.2242,0.000,242,588,66,20,0.972,80,0.00,234,200.08,0,0,15.437(19.297%)(0.000m),32.455(28.637%)(1.334m),21.000(18.529%)(0.107m),24.000(21.177%)(0.429m),47.000(58.750%)(2.893m),10.855(27.136%)(0.092m),40.000(100.000%)(3.214m),0.000,4988.811,56.3,0.5193,"[0.048, -0.008, 0.002, -0.110, -0.126, -0.002]","[0.059, -0.004, 0.009, -0.104, -0.105, 0.010]","[0.033, -0.012, -0.004, -0.116, -0.138, -0.006]"
16,1,-6.3131,-6.2297,0.000,76,183,21,0,0.970,50,0.00,242,54.23,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),42.550(37.544%)(2.416m),19.486(17.194%)(0.000m),11.227(14.033%)(0.000m),40.000(100.000%)(3.214m),10.432(26.080%)(0.046m),4793.033,5621.743,55.9,0.0000,"[0.030, -0.010, -0.006, -0.123, -0.135, -0.003]","[0.039, -0.004, -0.004, -0.116, -0.130, 0.004]","[0.020, -0.019, -0.010, -0.137, -0.141, -0.008]"
17,1,-6.0471,-6.2190,0.000,80,194,20,0,0.968,50,0.00,250,57.68,0,0,78.639(98.299%)(6.283m),99.096(87.438%)(8.475m),25.372(22.387%)(0.576m),15.129(13.349%)(0.000m),10.020(12.525%)(0.000m),40.000(100.000%)(3.214m),11.328(28.320%)(0.142m),4888.128,5585.477,56.1,0.0000,"[0.032, -0.008, -0.006, -0.120, -0.134, -0.004]","[0.039, -0.005, -0.001, -0.116, -0.130, 0.008]","[0.021, -0.021, -0.010, -0.136, -0.141, -0.008]"
18,1,-7.9346,-6.3143,0.000,208,520,29,12,0.967,80,0.00,271,150.96,0,0,51.124(63.905%)(3.335m),19.000(16.765%)(0.000m),20.000(17.647%)(0.000m),25.000(22.059%)(0.536m),60.934(76.168%)(4.386m),37.217(93.042%)(2.916m),40.000(100.000%)(3.214m),0.000,3020.842,57.8,0.0000,"[0.044, -0.005, -0.001, -0.112, -0.136, -0.003]","[0.055, -0.001, 0.005, -0.099, -0.119, 0.003]","[0.039, -0.011, -0.005, -0.116, -0.141, -0.008]"
19,1,-4.9254,-6.2412,0.000,193,469,19,0,0.965,75,0.00,291,142.13,0,0,53.000(66.250%)(3.536m),57.000(50.294%)(3.964m),27.245(24.040%)(0.776m),15.663(13.820%)(0.000m),10.139(12.674%)(0.000m),40.000(100.000%)(3.214m),11.046(27.616%)(0.112m),1839.987,3816.031,56.2,0.0000,"[0.037, -0.007, -0.005, -0.116, -0.134, -0.004]","[0.045, -0.004, -0.002, -0.110, -0.129, 0.006]","[0.021, -0.018, -0.010, -0.136, -0.139, -0.009]"
20,1,-6.5123,-6.2548,0.000,73,180,19,0,0.963,50,0.00,299,52.50,0,0,10.030(12.538%)(0.000m),14.819(13.076%)(0.000m),24.052(21.222%)(0.434m),77.868(68.708%)(6.200m),77.067(96.334%)(6.114m),11.770(29.424%)(0.190m),40.000(100.000%)(3.214m),3455.359,4462.492,57.1,0.0000,"[0.049, -0.007, -0.001, -0.110, -0.127, -0.004]","[0.056, -0.002, 0.002, -0.105, -0.097, 0.008]","[0.039, -0.018, -0.004, -0.116, -0.140, -0.009]"
21,1,-6.5847,-6.2705,0.000,220,538,18,0,0.961,80,0.00,321,164.69,0,0,10.535(13.169%)(0.000m),17.260(15.230%)(0.000m),33.344(29.421%)(1.430m),58.000(51.177%)(4.071m),44.000(55.000%)(2.571m),10.535(26.338%)(0.057m),33.779(84.447%)(2.548m),1827.731,3691.079,56.6,0.4802,"[0.042, -0.006, -0.004, -0.113, -0.131, -0.004]","[0.055, -0.001, 0.003, -0.104, -0.096, 0.004]","[0.032, -0.016, -0.009, -0.120, -0.142, -0.010]"
22,1,-6.3194,-6.2727,0.000,83,201,20,0,0.959,55,0.00,330,66.55,0,0,78.639(98.299%)(6.283m),110.000(97.059%)(9.643m),27.380(24.159%)(0.791m),15.741(13.889%)(0.000m),10.189(12.737%)(0.000m),40.000(100.000%)(3.214m),11.101(27.753%)(0.118m),4519.176,5389.048,55.9,0.4721,"[0.031, -0.009, -0.006, -0.120, -0.134, -0.004]","[0.039, -0.005, -0.002, -0.116, -0.130, 0.006]","[0.020, -0.019, -0.010, -0.137, -0.138, -0.008]"
23,1,-5.5570,-6.2416,0.000,129,317,19,0,0.957,65,0.00,343,92.21,0,0,10.671(13.338%)(0.000m),17.482(15.425%)(0.000m),33.772(29.799%)(1.476m),89.000(78.530%)(7.393m),64.664(80.830%)(4.785m),10.671(26.677%)(0.072m),40.000(100.000%)(3.214m),3801.011,4747.671,56.8,0.4713,"[0.046, -0.007, -0.002, -0.111, -0.130, -0.004]","[0.056, -0.002, 0.002, -0.103, -0.097, 0.006]","[0.035, -0.016, -0.006, -0.117, -0.140, -0.008]"
