episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-6.8351,-6.8351,0.000,196,485,17,0,1.000,80,0.00,20,283.70,0,0,44.000(55.000%)(2.571m),55.000(48.530%)(3.750m),30.585(26.987%)(1.134m),16.875(14.890%)(0.000m),10.662(13.328%)(0.000m),40.000(100.000%)(3.214m),11.197(27.992%)(0.128m),1198.007,3987.647,57.2,0.0000,"[-0.035, -0.023, 0.128, 0.139, 0.081, -0.102]","[-0.031, -0.019, 0.130, 0.144, 0.097, -0.098]","[-0.061, -0.035, 0.112, 0.122, 0.075, -0.112]"
2,1,-5.1305,-5.9828,0.000,113,285,15,0,0.998,65,0.00,32,100.23,0,0,9.656(12.070%)(0.000m),14.579(12.864%)(0.000m),24.449(21.573%)(0.477m),94.000(82.941%)(7.929m),67.684(84.605%)(5.109m),10.916(27.290%)(0.098m),40.000(100.000%)(3.214m),2726.113,4934.580,58.4,0.0000,"[-0.035, -0.018, 0.125, 0.139, 0.081, -0.106]","[-0.031, -0.008, 0.130, 0.145, 0.106, -0.098]","[-0.045, -0.024, 0.109, 0.129, 0.074, -0.123]"
3,1,-6.4937,-6.1531,0.000,124,302,16,0,0.996,65,0.00,45,98.47,0,0,78.639(98.299%)(6.283m),103.000(90.883%)(8.893m),71.450(63.044%)(5.512m),23.373(20.623%)(0.361m),11.972(14.965%)(0.000m),40.000(100.000%)(3.214m),9.827(24.567%)(0.000m),4303.114,5264.701,56.3,0.0000,"[-0.039, -0.026, 0.125, 0.137, 0.080, -0.100]","[-0.031, -0.023, 0.130, 0.140, 0.090, -0.098]","[-0.064, -0.032, 0.113, 0.129, 0.075, -0.108]"
4,1,-4.1638,-5.6558,0.000,153,375,21,0,0.994,70,0.00,61,139.87,0,0,69.045(86.306%)(5.255m),78.000(68.824%)(6.214m),27.644(24.392%)(0.819m),15.892(14.023%)(0.000m),10.287(12.859%)(0.000m),40.000(100.000%)(3.214m),11.208(28.020%)(0.129m),2321.424,4512.300,56.7,0.0000,"[-0.036, -0.024, 0.127, 0.137, 0.080, -0.100]","[-0.031, -0.021, 0.130, 0.142, 0.101, -0.098]","[-0.069, -0.029, 0.110, 0.123, 0.074, -0.110]"
5,1,-6.7965,-5.8839,0.000,135,327,16,0,0.992,65,0.00,75,109.26,0,0,78.000(97.500%)(6.214m),65.880(58.130%)(4.916m),22.470(19.827%)(0.265m),14.125(12.464%)(0.000m),9.694(12.118%)(0.000m),40.000(100.000%)(3.214m),11.663(29.158%)(0.178m),3732.551,4562.434,56.1,0.0000,"[-0.036, -0.025, 0.127, 0.137, 0.081, -0.100]","[-0.031, -0.022, 0.130, 0.141, 0.100, -0.098]","[-0.067, -0.037, 0.112, 0.122, 0.075, -0.109]"
6,1,-5.4369,-5.8094,0.000,90,222,18,0,0.990,55,0.00,84,74.35,0,0,77.786(97.233%)(6.191m),46.845(41.334%)(2.876m),19.248(16.984%)(0.000m),12.655(11.166%)(0.000m),8.976(11.219%)(0.000m),40.000(100.000%)(3.214m),11.504(28.760%)(0.161m),3707.981,5331.641,57.1,0.0000,"[-0.038, -0.024, 0.127, 0.137, 0.082, -0.100]","[-0.031, -0.022, 0.130, 0.141, 0.104, -0.098]","[-0.077, -0.034, 0.113, 0.123, 0.075, -0.117]"
7,1,-4.4185,-5.6107,0.000,124,305,17,0,0.988,65,0.00,97,100.38,0,0,77.786(97.233%)(6.191m),94.000(82.941%)(7.929m),29.255(25.813%)(0.992m),16.141(14.242%)(0.000m),10.199(12.748%)(0.000m),40.000(100.000%)(3.214m),10.710(26.775%)(0.076m),3917.896,4573.873,57.0,0.0000,"[-0.037, -0.025, 0.126, 0.137, 0.081, -0.100]","[-0.031, -0.022, 0.130, 0.140, 0.100, -0.098]","[-0.067, -0.031, 0.110, 0.123, 0.075, -0.108]"
8,1,-5.7491,-5.6280,0.000,194,545,10,51,0.986,85,0.00,117,215.14,0,0,13.000(16.250%)(0.000m),47.000(41.471%)(2.893m),71.000(62.647%)(5.464m),66.947(59.071%)(5.030m),34.738(43.423%)(1.579m),11.000(27.500%)(0.107m),24.835(62.089%)(1.590m),480.979,3174.938,65.1,0.0000,"[-0.039, -0.019, 0.124, 0.141, 0.083, -0.110]","[-0.031, -0.004, 0.130, 0.148, 0.091, -0.098]","[-0.049, -0.024, 0.116, 0.136, 0.074, -0.122]"
9,1,-7.7144,-5.8598,0.000,224,550,18,20,0.984,80,0.00,140,217.76,0,0,39.433(49.291%)(2.082m),73.187(64.577%)(5.699m),48.000(42.353%)(3.000m),34.000(30.000%)(1.500m),26.000(32.500%)(0.643m),28.592(71.481%)(1.992m),40.000(100.000%)(3.214m),430.479,3535.003,56.8,3.9797,"[-0.038, -0.020, 0.124, 0.135, 0.078, -0.103]","[-0.031, -0.015, 0.130, 0.141, 0.089, -0.098]","[-0.047, -0.024, 0.118, 0.124, 0.074, -0.108]"
10,1,-6.9089,-5.9648,0.000,223,548,38,24,0.982,80,0.00,163,244.14,0,0,25.000(31.250%)(0.536m),20.000(17.647%)(0.000m),43.000(37.941%)(2.464m),95.047(83.865%)(8.041m),49.397(61.746%)(3.150m),40.000(100.000%)(3.214m),35.899(89.747%)(2.775m),0.000,2656.639,56.9,0.7109,"[-0.035, -0.022, 0.127, 0.137, 0.082, -0.103]","[-0.031, -0.013, 0.130, 0.144, 0.091, -0.098]","[-0.048, -0.025, 0.121, 0.125, 0.075, -0.113]"
