episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-5.4870,-5.4870,0.000,85,220,17,0,1.000,25,0.00,9,411.76,0,0,11.445(14.306%)(0.000m),20.745(18.305%)(0.080m),50.489(44.549%)(3.267m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),10.124(25.309%)(0.013m),40.000(100.000%)(3.214m),3128.128,6824.405,59.9,0.0000,"[-0.048, 0.168, 0.120, -0.106, -0.029, 0.057]","[-0.040, 0.173, 0.135, -0.103, -0.027, 0.079]","[-0.056, 0.165, 0.101, -0.111, -0.032, 0.035]"
2,1,-5.8488,-5.6679,0.000,139,335,21,0,0.998,35,0.00,23,421.64,0,0,11.147(13.934%)(0.000m),19.979(17.629%)(0.000m),47.198(41.645%)(2.914m),92.000(81.177%)(7.714m),64.694(80.868%)(4.789m),9.982(24.956%)(0.000m),40.000(100.000%)(3.214m),3628.707,7740.809,55.8,0.0000,"[-0.044, 0.171, 0.125, -0.104, -0.029, 0.066]","[-0.040, 0.173, 0.139, -0.101, -0.025, 0.080]","[-0.058, 0.167, 0.095, -0.108, -0.032, 0.040]"
3,1,-5.3104,-5.5487,0.000,87,225,15,0,0.996,25,0.00,32,253.88,0,0,9.575(11.969%)(0.000m),13.765(12.146%)(0.000m),21.490(18.962%)(0.160m),57.975(51.154%)(4.069m),76.230(95.288%)(6.025m),11.813(29.534%)(0.194m),40.000(100.000%)(3.214m),3038.269,6017.729,59.9,0.0000,"[-0.047, 0.167, 0.123, -0.105, -0.029, 0.061]","[-0.040, 0.173, 0.135, -0.099, -0.016, 0.079]","[-0.058, 0.162, 0.089, -0.110, -0.032, 0.030]"
4,1,-6.2382,-5.7211,0.000,161,396,16,0,0.994,40,0.00,49,442.65,0,0,63.000(78.750%)(4.607m),75.000(66.177%)(5.893m),24.743(21.832%)(0.508m),14.754(13.018%)(0.000m),9.772(12.215%)(0.000m),40.000(100.000%)(3.214m),11.047(27.617%)(0.112m),2920.921,6109.602,56.9,0.0000,"[-0.038, 0.171, 0.132, -0.100, -0.028, 0.072]","[-0.032, 0.174, 0.142, -0.091, -0.019, 0.080]","[-0.042, 0.164, 0.105, -0.104, -0.033, 0.041]"
5,1,-6.2922,-5.8353,0.000,104,253,18,0,0.992,30,0.00,60,299.24,0,0,78.639(98.299%)(6.283m),58.007(51.183%)(4.072m),20.661(18.231%)(0.071m),13.113(11.570%)(0.000m),9.061(11.326%)(0.000m),40.000(100.000%)(3.214m),11.038(27.596%)(0.111m),3943.989,7655.090,56.4,0.0000,"[-0.038, 0.171, 0.132, -0.102, -0.028, 0.072]","[-0.029, 0.173, 0.142, -0.091, -0.021, 0.079]","[-0.041, 0.168, 0.104, -0.104, -0.032, 0.046]"
6,1,-5.2743,-5.7418,0.000,182,467,37,12,0.990,45,0.00,79,454.90,0,0,26.000(32.500%)(0.643m),21.000(18.529%)(0.107m),35.000(30.882%)(1.607m),113.333(100.000%)(10.000m),58.604(73.255%)(4.136m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2523.046,59.4,0.0000,"[-0.040, 0.170, 0.132, -0.100, -0.027, 0.073]","[-0.033, 0.176, 0.143, -0.085, -0.013, 0.079]","[-0.053, 0.162, 0.113, -0.108, -0.033, 0.047]"
7,1,-4.7572,-5.6011,0.000,87,222,16,0,0.988,25,0.00,88,252.85,0,0,9.457(11.821%)(0.000m),13.334(11.765%)(0.000m),20.281(17.895%)(0.030m),49.358(43.551%)(3.146m),67.684(84.605%)(5.109m),12.121(30.303%)(0.227m),40.000(100.000%)(3.214m),2981.088,5677.462,58.9,0.0000,"[-0.045, 0.169, 0.127, -0.104, -0.028, 0.065]","[-0.040, 0.173, 0.139, -0.102, -0.019, 0.080]","[-0.056, 0.160, 0.094, -0.108, -0.032, 0.027]"
8,1,-2.9152,-5.2654,0.000,184,477,16,0,0.986,45,0.00,107,458.12,0,0,41.000(51.250%)(2.250m),57.000(50.294%)(3.964m),32.227(28.436%)(1.310m),16.682(14.719%)(0.000m),10.182(12.728%)(0.000m),40.000(100.000%)(3.214m),10.182(25.456%)(0.020m),929.910,3987.667,60.0,0.0000,"[-0.042, 0.167, 0.130, -0.103, -0.029, 0.069]","[-0.032, 0.173, 0.141, -0.092, -0.018, 0.080]","[-0.058, 0.158, 0.103, -0.109, -0.033, 0.037]"
9,1,-5.6610,-5.3094,0.000,304,765,71,53,0.984,55,0.00,138,806.01,0,0,11.997(14.996%)(0.000m),22.817(20.133%)(0.302m),36.000(31.765%)(1.714m),28.000(24.706%)(0.857m),21.000(26.250%)(0.107m),10.097(25.244%)(0.010m),22.000(55.000%)(1.286m),78.634,3305.144,58.2,0.0000,"[-0.045, 0.170, 0.128, -0.104, -0.030, 0.065]","[-0.035, 0.174, 0.145, -0.096, -0.019, 0.080]","[-0.059, 0.162, 0.095, -0.112, -0.038, 0.033]"
10,1,-7.5687,-5.5353,0.000,230,559,21,0,0.982,45,0.00,161,579.98,0,0,10.372(12.965%)(0.000m),16.993(14.993%)(0.000m),32.827(28.965%)(1.374m),43.000(37.941%)(2.464m),37.000(46.250%)(1.821m),10.372(25.930%)(0.040m),40.000(100.000%)(3.214m),1215.474,5123.913,56.2,3.2409,"[-0.045, 0.167, 0.126, -0.106, -0.029, 0.065]","[-0.040, 0.174, 0.136, -0.092, -0.023, 0.079]","[-0.058, 0.156, 0.094, -0.110, -0.035, 0.040]"
