episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-3.5976,-3.5976,0.000,256,632,20,57,1.000,50,0.00,26,649.06,0,0,14.000(17.500%)(0.000m),29.000(25.588%)(0.964m),49.000(43.235%)(3.107m),69.271(61.121%)(5.279m),37.225(46.531%)(1.845m),40.000(100.000%)(3.214m),26.895(67.238%)(1.810m),693.198,4863.515,57.1,0.0000,"[0.029, 0.038, -0.018, 0.104, -0.093, 0.074]","[0.034, 0.043, -0.006, 0.110, -0.073, 0.084]","[0.026, 0.034, -0.028, 0.096, -0.107, 0.066]"
2,1,-6.3832,-4.9904,0.000,68,165,26,0,0.998,20,0.00,33,142.68,0,0,10.472(13.091%)(0.000m),16.857(14.874%)(0.000m),31.498(27.793%)(1.232m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),10.732(26.829%)(0.078m),40.000(100.000%)(3.214m),4196.329,9738.193,56.1,0.0000,"[0.026, 0.042, -0.027, 0.105, -0.087, 0.078]","[0.029, 0.054, -0.009, 0.111, -0.073, 0.081]","[0.023, 0.036, -0.052, 0.096, -0.101, 0.072]"
3,1,-6.3366,-5.4391,0.000,80,198,20,0,0.996,25,0.00,41,192.24,0,0,11.743(14.679%)(0.000m),21.286(18.781%)(0.138m),51.804(45.710%)(3.408m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),10.387(25.968%)(0.041m),40.000(100.000%)(3.214m),4637.479,8508.935,57.3,0.0000,"[0.028, 0.043, -0.027, 0.104, -0.092, 0.077]","[0.030, 0.055, -0.009, 0.110, -0.080, 0.082]","[0.026, 0.036, -0.046, 0.096, -0.101, 0.068]"
4,1,-7.5187,-5.9590,0.000,144,346,17,0,0.994,35,0.00,56,373.53,0,0,10.482(13.103%)(0.000m),17.173(15.153%)(0.000m),33.176(29.273%)(1.412m),85.000(75.000%)(6.964m),76.230(95.288%)(6.025m),10.482(26.206%)(0.052m),40.000(100.000%)(3.214m),4539.640,11182.753,55.6,0.0000,"[0.026, 0.041, -0.025, 0.103, -0.096, 0.081]","[0.028, 0.055, -0.009, 0.109, -0.079, 0.086]","[0.024, 0.036, -0.050, 0.096, -0.104, 0.071]"
5,1,-6.6637,-6.1000,0.000,103,250,17,0,0.992,30,0.00,67,279.56,0,0,11.042(13.803%)(0.000m),18.602(16.414%)(0.000m),38.023(33.550%)(1.931m),108.000(95.294%)(9.429m),77.067(96.334%)(6.114m),10.645(26.611%)(0.069m),40.000(100.000%)(3.214m),5057.156,8650.258,56.2,0.0000,"[0.027, 0.041, -0.024, 0.103, -0.094, 0.079]","[0.029, 0.055, -0.009, 0.110, -0.080, 0.084]","[0.026, 0.036, -0.048, 0.096, -0.101, 0.068]"
6,1,-4.4960,-5.8327,0.000,242,584,46,23,0.990,50,0.00,92,600.86,0,0,56.853(71.066%)(3.949m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),21.000(18.529%)(0.107m),67.684(84.605%)(5.109m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2923.261,55.9,0.0000,"[0.027, 0.035, -0.015, 0.104, -0.097, 0.072]","[0.028, 0.039, -0.006, 0.125, -0.087, 0.078]","[0.026, 0.028, -0.029, 0.094, -0.108, 0.061]"
7,1,-8.9885,-6.2835,0.000,251,614,36,3,0.988,50,0.00,118,630.34,0,0,10.507(13.134%)(0.000m),17.061(15.054%)(0.000m),32.402(28.590%)(1.329m),41.000(36.177%)(2.250m),34.000(42.500%)(1.500m),10.636(26.590%)(0.068m),40.000(100.000%)(3.214m),870.762,4104.311,56.6,0.0000,"[0.028, 0.039, -0.018, 0.102, -0.095, 0.076]","[0.035, 0.056, -0.006, 0.112, -0.081, 0.086]","[0.026, 0.034, -0.048, 0.093, -0.108, 0.066]"
8,1,-3.5709,-5.9444,0.000,233,566,17,0,0.986,45,0.00,142,653.16,0,0,11.387(14.234%)(0.000m),20.641(18.213%)(0.069m),50.235(44.325%)(3.240m),53.000(46.765%)(3.536m),41.000(51.250%)(2.250m),10.073(25.182%)(0.008m),40.000(100.000%)(3.214m),1706.223,5615.901,56.2,4.7786,"[0.027, 0.039, -0.020, 0.102, -0.095, 0.077]","[0.030, 0.056, -0.007, 0.109, -0.081, 0.091]","[0.026, 0.033, -0.049, 0.096, -0.107, 0.067]"
9,1,-6.4531,-6.0009,0.000,72,174,20,0,0.984,20,0.00,150,204.53,0,0,10.036(12.544%)(0.000m),15.383(13.573%)(0.000m),26.422(23.313%)(0.688m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),11.069(27.672%)(0.115m),40.000(100.000%)(3.214m),4747.523,9562.263,55.9,0.0000,"[0.027, 0.042, -0.027, 0.104, -0.089, 0.078]","[0.029, 0.054, -0.009, 0.111, -0.076, 0.081]","[0.023, 0.036, -0.053, 0.096, -0.101, 0.072]"
10,1,-5.3389,-5.9347,0.000,95,247,24,0,0.982,30,0.00,160,273.20,0,0,10.457(13.071%)(0.000m),17.131(15.116%)(0.000m),33.095(29.201%)(1.403m),100.000(88.236%)(8.571m),67.642(84.553%)(5.105m),10.457(26.142%)(0.049m),40.000(100.000%)(3.214m),2311.265,5942.508,60.3,0.0000,"[0.028, 0.041, -0.021, 0.103, -0.093, 0.074]","[0.029, 0.054, -0.008, 0.112, -0.080, 0.078]","[0.026, 0.035, -0.050, 0.095, -0.101, 0.070]"
