episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-7.5981,-7.5981,0.000,265,655,17,0,1.000,65,0.00,27,402.42,0,0,14.286(17.857%)(0.000m),23.197(20.468%)(0.343m),44.056(38.873%)(2.577m),73.715(65.043%)(5.755m),36.600(45.750%)(1.779m),14.462(36.154%)(0.478m),26.446(66.116%)(1.762m),2588.735,14017.368,57.2,0.0000,"[0.281, 0.014, 0.107, 0.174, 0.139, 0.290]","[0.294, 0.019, 0.125, 0.188, 0.143, 0.303]","[0.274, 0.005, 0.098, 0.159, 0.131, 0.279]"
2,1,-4.7467,-6.1724,0.000,147,369,17,0,0.998,50,0.00,42,85.45,0,0,66.028(82.535%)(4.932m),83.691(73.846%)(6.824m),35.427(31.259%)(1.653m),23.484(20.721%)(0.373m),16.761(20.951%)(0.000m),40.000(100.000%)(3.214m),21.760(54.399%)(1.260m),3957.745,10216.507,58.1,0.0000,"[0.279, 0.016, 0.107, 0.172, 0.139, 0.290]","[0.283, 0.021, 0.117, 0.185, 0.143, 0.301]","[0.267, 0.011, 0.097, 0.161, 0.131, 0.248]"
3,1,-5.8875,-6.0774,0.000,61,157,19,0,0.996,35,0.00,49,43.20,0,0,78.639(98.299%)(6.283m),49.149(43.367%)(3.123m),19.561(17.260%)(0.000m),12.753(11.253%)(0.000m),8.987(11.234%)(0.000m),40.000(100.000%)(3.214m),11.373(28.433%)(0.147m),4615.914,10134.999,59.7,0.0000,"[0.270, 0.014, 0.105, 0.170, 0.134, 0.271]","[0.280, 0.017, 0.117, 0.183, 0.139, 0.298]","[0.261, 0.011, 0.099, 0.157, 0.118, 0.214]"
4,1,-4.8626,-5.7737,0.000,206,508,17,0,0.994,60,0.00,70,142.74,0,0,14.968(18.710%)(0.000m),22.434(19.794%)(0.261m),37.199(32.822%)(1.843m),80.000(70.588%)(6.429m),57.919(72.399%)(4.063m),17.132(42.830%)(0.764m),40.000(100.000%)(3.214m),3350.634,10280.811,57.1,0.0000,"[0.282, 0.014, 0.109, 0.171, 0.138, 0.295]","[0.294, 0.019, 0.120, 0.178, 0.145, 0.306]","[0.274, 0.003, 0.103, 0.157, 0.127, 0.282]"
5,1,-7.2505,-6.0691,0.000,243,602,23,0,0.992,65,0.00,95,139.00,0,0,48.511(60.639%)(3.055m),78.000(68.824%)(6.214m),37.576(33.156%)(1.883m),19.451(17.163%)(0.000m),11.873(14.841%)(0.000m),35.295(88.237%)(2.710m),11.873(29.682%)(0.201m),2030.785,8644.567,57.3,0.0000,"[0.279, 0.015, 0.107, 0.174, 0.139, 0.293]","[0.287, 0.020, 0.114, 0.185, 0.142, 0.309]","[0.258, 0.010, 0.100, 0.151, 0.127, 0.224]"
6,1,-6.6475,-6.1655,0.000,91,220,15,0,0.990,40,0.00,105,65.64,0,0,10.213(12.766%)(0.000m),15.420(13.606%)(0.000m),25.860(22.818%)(0.628m),101.481(89.542%)(8.730m),77.067(96.334%)(6.114m),11.546(28.865%)(0.166m),40.000(100.000%)(3.214m),8245.910,17633.221,56.0,0.0000,"[0.288, 0.013, 0.113, 0.172, 0.137, 0.299]","[0.295, 0.018, 0.123, 0.178, 0.141, 0.306]","[0.280, 0.002, 0.104, 0.154, 0.129, 0.278]"
7,1,-3.0491,-5.7203,0.000,384,947,68,0,0.988,75,0.00,144,279.95,0,0,13.054(16.318%)(0.000m),23.397(20.645%)(0.364m),41.000(36.177%)(2.250m),38.000(33.530%)(1.929m),36.000(45.000%)(1.714m),11.690(29.226%)(0.181m),40.000(100.000%)(3.214m),1364.477,8150.496,57.1,0.0000,"[0.281, 0.013, 0.109, 0.169, 0.136, 0.291]","[0.294, 0.019, 0.119, 0.181, 0.142, 0.302]","[0.267, 0.007, 0.098, 0.152, 0.118, 0.277]"
8,1,-6.3958,-5.8047,0.000,278,685,17,0,0.986,65,0.00,172,163.47,0,0,18.510(23.137%)(0.000m),25.935(22.884%)(0.636m),39.124(34.521%)(2.049m),50.737(44.768%)(3.293m),24.163(30.204%)(0.446m),24.031(60.077%)(1.503m),17.199(42.997%)(0.771m),3018.073,15786.989,57.1,0.0000,"[0.277, 0.013, 0.105, 0.181, 0.139, 0.280]","[0.294, 0.017, 0.127, 0.200, 0.147, 0.303]","[0.267, 0.006, 0.098, 0.155, 0.131, 0.258]"
9,1,-5.3628,-5.7556,0.000,109,267,19,0,0.984,45,0.00,183,72.43,0,0,17.137(21.421%)(0.000m),28.076(24.773%)(0.865m),54.238(47.858%)(3.668m),113.333(100.000%)(10.000m),67.969(84.962%)(5.140m),17.137(42.843%)(0.765m),40.000(100.000%)(3.214m),6122.465,15133.983,56.7,0.0000,"[0.287, 0.014, 0.112, 0.172, 0.138, 0.299]","[0.294, 0.018, 0.122, 0.178, 0.141, 0.306]","[0.278, 0.008, 0.104, 0.157, 0.134, 0.284]"
10,1,-7.9850,-5.9786,0.000,290,703,18,0,0.982,65,0.00,212,180.39,0,0,17.785(22.231%)(0.000m),31.877(28.126%)(1.272m),75.305(66.446%)(5.926m),71.000(62.647%)(5.464m),68.000(85.000%)(5.143m),15.927(39.818%)(0.635m),40.000(100.000%)(3.214m),8422.695,21147.370,56.1,0.0000,"[0.287, 0.014, 0.110, 0.173, 0.141, 0.301]","[0.296, 0.019, 0.118, 0.179, 0.148, 0.308]","[0.280, 0.010, 0.104, 0.163, 0.137, 0.289]"
