episode,close distance,near_miss,MSE,Reward,Avg reward,time,timeframe,steps,progress_pct,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,0,0,0.000,21.140,21.140,4555,269,830,100.0,1,77.786(97.233%)(6.191m),113.333(100.000%)(10.000m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),40.000(100.000%)(3.214m),26.000(65.000%)(1.714m),None,None,71.4,5.5385,"[3.722, 3.941, 3.570, 3.862, 4.416, 3.774]","[4.611, 4.757, 4.627, 4.981, 5.223, 4.732]","[1.929, 2.327, 1.980, 2.232, 2.852, 2.321]"
2,5,21,0.000,16.850,18.995,4639,281,858,100.0,1,27.000(33.750%)(0.750m),40.000(35.294%)(2.143m),55.000(48.530%)(3.750m),49.392(43.581%)(3.149m),23.525(29.407%)(0.378m),24.000(60.000%)(1.500m),16.622(41.555%)(0.710m),300.500,3408.559,70.7,1.8465,"[2.580, 3.048, 2.904, 2.746, 3.500, 3.005]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-3.491, 0.491, -1.072, -3.717, 0.621, -1.413]"
3,0,0,0.000,21.140,19.710,4422,269,830,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),113.333(100.000%)(10.000m),76.230(95.288%)(6.025m),26.000(65.000%)(1.714m),40.000(100.000%)(3.214m),None,None,71.4,1.8424,"[3.470, 3.739, 3.307, 3.599, 4.083, 3.530]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[2.087, 1.818, 1.885, 2.250, 2.097, 2.109]"
4,0,0,0.000,20.400,19.883,4445,270,833,100.0,1,42.000(52.500%)(2.357m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),66.000(58.235%)(4.929m),33.000(41.250%)(1.393m),26.000(65.000%)(1.714m),23.000(57.500%)(1.393m),None,None,71.4,1.6925,"[3.574, 3.828, 3.552, 3.687, 4.263, 3.735]","[4.611, 4.757, 4.627, 4.857, 5.223, 4.732]","[-0.202, 1.323, 1.632, -0.834, 1.635, 1.947]"
5,101,4,0.000,15.170,18.940,5659,343,995,100.0,1,13.986(17.483%)(0.000m),29.807(26.300%)(1.051m),46.000(40.588%)(2.786m),38.000(33.530%)(1.929m),33.000(41.250%)(1.393m),9.810(24.526%)(0.000m),26.000(65.000%)(1.714m),486.423,3227.374,67.1,1.4922,"[2.385, 2.084, 1.599, 2.409, 2.399, 1.516]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-5.604, -5.547, -7.376, -6.132, -5.379, -7.063]"
6,40,11,0.000,-1.040,15.610,2695,163,463,80.0,0,28.000(35.000%)(0.857m),57.000(50.294%)(3.964m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),63.964(79.955%)(4.710m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,3140.685,65.8,1.5095,"[2.386, 2.609, 2.458, 2.399, 2.562, 2.012]","[4.611, 4.757, 4.627, 4.803, 5.223, 4.732]","[-7.414, -2.344, -2.948, -7.508, -5.464, -4.506]"
7,0,0,0.000,31.340,17.857,7270,439,1381,100.0,1,77.786(97.233%)(6.191m),113.333(100.000%)(10.000m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),40.000(100.000%)(3.214m),26.000(65.000%)(1.714m),None,None,72.8,1.5673,"[3.616, 3.867, 3.491, 3.795, 4.375, 3.733]","[4.611, 4.757, 4.627, 4.981, 5.223, 4.732]","[1.929, 2.327, 1.980, 2.232, 2.852, 2.321]"
8,85,31,0.000,24.450,18.681,7290,441,1388,100.0,1,24.000(30.000%)(0.429m),47.000(41.471%)(2.893m),88.000(77.647%)(7.286m),47.819(42.194%)(2.981m),22.737(28.421%)(0.293m),21.000(52.500%)(1.179m),16.050(40.124%)(0.648m),475.255,6185.528,72.8,1.8927,"[2.869, 3.170, 2.930, 3.098, 3.644, 3.129]","[4.611, 4.757, 4.627, 4.981, 5.223, 4.732]","[-3.818, 1.678, 1.150, -4.077, 2.202, 1.296]"
9,0,0,0.000,31.340,20.088,7227,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,72.8,2.3169,"[3.447, 3.703, 3.285, 3.630, 4.137, 3.536]","[4.611, 4.757, 4.627, 4.981, 5.223, 4.732]","[1.929, 1.818, 1.885, 2.232, 2.097, 2.109]"
10,0,0,0.000,30.600,21.139,7273,440,1385,100.0,1,42.000(52.500%)(2.357m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),66.000(58.235%)(4.929m),33.000(41.250%)(1.393m),26.000(65.000%)(1.714m),23.000(57.500%)(1.393m),None,None,72.8,2.1353,"[3.516, 3.778, 3.463, 3.685, 4.263, 3.691]","[4.611, 4.757, 4.627, 4.981, 5.223, 4.732]","[-0.202, 1.323, 1.632, -0.834, 1.635, 1.947]"
11,0,22,0.000,26.980,21.670,7320,441,1388,100.0,1,24.227(30.283%)(0.453m),50.790(44.815%)(3.299m),86.000(75.883%)(7.071m),46.000(40.588%)(2.786m),27.000(33.750%)(0.750m),17.131(42.828%)(0.764m),24.000(60.000%)(1.500m),426.617,6146.567,72.8,2.2302,"[3.014, 3.408, 2.869, 3.163, 3.920, 3.067]","[4.611, 4.757, 4.627, 4.981, 5.223, 4.732]","[-2.718, 0.731, -4.457, -4.423, 0.700, -3.726]"
