episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-6.4840,-6.4840,0.000,238,606,17,0,1.000,60,0.00,24,644.61,0,0,78.168(97.710%)(6.232m),104.000(91.765%)(9.000m),36.438(32.151%)(1.761m),18.182(16.043%)(0.000m),10.896(13.620%)(0.000m),40.000(100.000%)(3.214m),10.633(26.582%)(0.068m),3750.759,12559.051,59.0,0.0000,"[-0.097, -0.210, -0.034, -0.019, -0.108, -0.130]","[-0.089, -0.199, -0.027, -0.009, -0.100, -0.121]","[-0.124, -0.222, -0.059, -0.033, -0.115, -0.152]"
2,1,-5.2883,-5.8862,0.000,83,219,18,0,0.998,35,0.00,33,178.02,0,0,78.639(98.299%)(6.283m),92.814(81.895%)(7.801m),23.651(20.869%)(0.391m),14.103(12.444%)(0.000m),9.341(11.676%)(0.000m),40.000(100.000%)(3.214m),10.560(26.399%)(0.060m),5859.713,11824.559,61.0,0.0000,"[-0.105, -0.212, -0.040, -0.028, -0.111, -0.134]","[-0.089, -0.206, -0.029, -0.012, -0.100, -0.126]","[-0.138, -0.217, -0.067, -0.051, -0.122, -0.151]"
3,1,-4.8392,-5.5372,0.000,188,477,17,0,0.996,55,0.00,52,407.12,0,0,69.057(86.321%)(5.256m),113.333(100.000%)(10.000m),36.992(32.640%)(1.821m),18.459(16.288%)(0.000m),11.062(13.827%)(0.000m),40.000(100.000%)(3.214m),10.795(26.987%)(0.085m),7797.472,15809.573,58.7,0.0000,"[-0.098, -0.208, -0.034, -0.020, -0.109, -0.133]","[-0.089, -0.201, -0.024, -0.009, -0.097, -0.122]","[-0.129, -0.216, -0.061, -0.040, -0.118, -0.151]"
4,1,-6.0245,-5.6590,0.000,146,355,17,0,0.994,45,0.00,67,332.84,0,0,11.147(13.933%)(0.000m),18.962(16.731%)(0.000m),39.574(34.918%)(2.097m),113.333(100.000%)(10.000m),67.684(84.605%)(5.109m),10.615(26.536%)(0.066m),40.000(100.000%)(3.214m),9643.035,19908.640,56.2,0.0000,"[-0.085, -0.201, -0.027, -0.007, -0.085, -0.113]","[-0.074, -0.180, -0.020, 0.005, -0.055, -0.094]","[-0.093, -0.213, -0.032, -0.018, -0.105, -0.128]"
5,1,-5.8060,-5.6884,0.000,125,303,19,0,0.992,40,0.00,80,247.60,0,0,69.098(86.372%)(5.260m),113.333(100.000%)(10.000m),34.149(30.131%)(1.516m),17.677(15.597%)(0.000m),10.790(13.487%)(0.000m),40.000(100.000%)(3.214m),10.790(26.974%)(0.085m),9645.381,20516.014,56.1,6.3787,"[-0.098, -0.206, -0.038, -0.018, -0.107, -0.133]","[-0.087, -0.198, -0.030, -0.010, -0.094, -0.123]","[-0.122, -0.213, -0.060, -0.031, -0.117, -0.153]"
6,1,-5.7564,-5.6997,0.000,201,489,17,0,0.990,55,0.00,101,429.80,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),33.753(29.782%)(1.474m),17.472(15.417%)(0.000m),10.665(13.331%)(0.000m),40.000(100.000%)(3.214m),10.665(26.662%)(0.071m),9450.244,22924.308,56.3,0.0000,"[-0.098, -0.204, -0.035, -0.018, -0.109, -0.137]","[-0.089, -0.195, -0.022, -0.005, -0.100, -0.125]","[-0.124, -0.211, -0.060, -0.033, -0.117, -0.152]"
7,1,-5.0221,-5.6029,0.000,93,234,16,0,0.988,35,0.00,111,199.00,0,0,77.786(97.233%)(6.191m),49.196(43.408%)(3.128m),20.214(17.836%)(0.023m),13.290(11.727%)(0.000m),9.426(11.782%)(0.000m),40.000(100.000%)(3.214m),12.081(30.203%)(0.223m),6488.281,14875.221,58.1,0.0000,"[-0.101, -0.210, -0.039, -0.023, -0.108, -0.132]","[-0.089, -0.201, -0.030, -0.013, -0.100, -0.125]","[-0.127, -0.216, -0.059, -0.041, -0.121, -0.148]"
8,1,-6.3448,-5.6957,0.000,84,206,24,0,0.986,35,0.00,120,180.59,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),28.698(25.322%)(0.932m),15.833(13.971%)(0.000m),10.004(12.506%)(0.000m),40.000(100.000%)(3.214m),10.506(26.265%)(0.054m),9674.897,19986.220,56.8,0.0000,"[-0.103, -0.207, -0.041, -0.022, -0.109, -0.136]","[-0.089, -0.197, -0.031, -0.010, -0.100, -0.127]","[-0.124, -0.213, -0.060, -0.036, -0.120, -0.153]"
9,1,-7.5509,-5.9018,0.000,238,574,28,0,0.984,60,0.00,144,507.43,0,0,11.514(14.392%)(0.000m),21.364(18.851%)(0.146m),55.547(49.013%)(3.809m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),9.935(24.838%)(0.000m),40.000(100.000%)(3.214m),7954.370,22307.794,55.8,0.0000,"[-0.085, -0.201, -0.027, -0.007, -0.085, -0.111]","[-0.075, -0.180, -0.022, 0.003, -0.059, -0.093]","[-0.091, -0.210, -0.032, -0.014, -0.100, -0.127]"
10,1,-5.7892,-5.8905,0.000,100,248,17,0,0.982,40,0.00,154,203.12,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),33.695(29.731%)(1.467m),17.442(15.390%)(0.000m),10.646(13.308%)(0.000m),40.000(100.000%)(3.214m),10.646(26.615%)(0.069m),12481.181,19492.967,57.3,0.0000,"[-0.102, -0.207, -0.040, -0.023, -0.111, -0.137]","[-0.089, -0.200, -0.031, -0.011, -0.100, -0.127]","[-0.125, -0.210, -0.060, -0.035, -0.117, -0.152]"
