episode,close distance,near_miss,MSE,Reward,Avg reward,time,timeframe,steps,progress_pct,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,0,0,0.000,20.560,20.560,4576,271,835,100.0,1,77.786(97.233%)(6.191m),113.333(100.000%)(10.000m),113.333(100.000%)(10.000m),66.000(58.235%)(4.929m),33.000(41.250%)(1.393m),40.000(100.000%)(3.214m),23.000(57.500%)(1.393m),None,None,71.3,5.2780,"[3.551, 4.131, 3.805, 3.550, 4.481, 4.035]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[0.729, 1.957, 1.704, -0.862, 2.686, 2.333]"
2,85,18,0.000,11.650,16.105,4922,298,896,100.0,1,23.087(28.858%)(0.331m),48.517(42.809%)(3.055m),55.000(48.530%)(3.750m),35.000(30.882%)(1.607m),26.000(32.500%)(0.643m),16.304(40.759%)(0.675m),24.000(60.000%)(1.500m),193.259,3298.620,69.6,1.3896,"[3.006, 3.278, 2.310, 3.066, 3.577, 2.387]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-5.080, -4.566, -3.835, -6.813, -6.271, -4.715]"
3,0,0,0.000,21.140,17.783,4444,269,830,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),113.333(100.000%)(10.000m),76.230(95.288%)(6.025m),26.000(65.000%)(1.714m),40.000(100.000%)(3.214m),None,None,71.4,1.1406,"[3.489, 4.127, 3.748, 3.554, 4.436, 3.917]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[0.494, 2.035, 1.436, 0.548, 2.587, 1.992]"
4,0,0,0.000,21.140,18.623,4452,269,830,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,71.4,1.5897,"[3.826, 4.233, 3.762, 3.914, 4.597, 3.986]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[2.371, 2.120, 1.448, 2.662, 2.843, 1.846]"
5,5,45,0.000,15.650,18.028,4610,279,854,100.0,1,25.155(31.444%)(0.552m),52.642(46.449%)(3.497m),55.000(48.530%)(3.750m),38.000(33.530%)(1.929m),21.000(26.250%)(0.107m),17.805(44.513%)(0.836m),19.000(47.500%)(0.964m),246.084,3322.038,70.8,1.9644,"[2.888, 3.408, 2.871, 2.915, 3.749, 3.069]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-2.416, 0.193, -3.010, -4.919, -0.250, -2.955]"
6,47,16,0.000,0.110,15.042,2670,162,461,80.0,0,45.000(56.250%)(2.679m),21.000(18.529%)(0.107m),20.000(17.647%)(0.000m),113.333(100.000%)(10.000m),63.410(79.263%)(4.651m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,2995.025,65.8,1.7054,"[1.625, 2.088, 1.250, 0.886, 1.728, 1.511]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-5.582, -3.655, -7.131, -9.229, -7.040, -5.257]"
7,0,70,0.000,26.880,16.733,7315,444,1394,100.0,1,68.209(85.261%)(5.165m),113.333(100.000%)(10.000m),113.333(100.000%)(10.000m),63.000(55.588%)(4.607m),24.000(30.000%)(0.429m),40.000(100.000%)(3.214m),17.000(42.500%)(0.750m),None,None,72.7,1.5712,"[3.486, 3.856, 3.429, 3.512, 4.246, 3.672]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[0.729, 1.957, 1.513, -0.862, 2.686, 2.282]"
8,0,20,0.000,26.340,17.934,7323,444,1394,100.0,1,24.522(30.652%)(0.484m),51.379(45.334%)(3.362m),89.000(78.530%)(7.393m),36.000(31.765%)(1.714m),26.000(32.500%)(0.643m),17.345(43.363%)(0.787m),23.000(57.500%)(1.393m),278.590,6042.103,72.7,1.9335,"[3.081, 3.635, 2.877, 3.212, 4.027, 3.140]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-2.870, -2.806, -3.884, -4.353, -4.021, -3.940]"
9,0,18,0.000,29.300,19.197,7324,442,1389,100.0,1,42.000(52.500%)(2.357m),104.000(91.765%)(9.000m),113.333(100.000%)(10.000m),66.000(58.235%)(4.929m),33.000(41.250%)(1.393m),21.000(52.500%)(1.179m),23.000(57.500%)(1.393m),None,None,72.7,1.8378,"[3.507, 4.041, 3.686, 3.556, 4.396, 3.969]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[-0.227, 1.957, 1.704, -0.862, 2.441, 2.333]"
10,0,0,0.000,30.360,20.313,7324,441,1386,100.0,1,38.000(47.500%)(1.929m),85.000(75.000%)(6.964m),113.333(100.000%)(10.000m),66.000(58.235%)(4.929m),33.000(41.250%)(1.393m),26.000(65.000%)(1.714m),23.000(57.500%)(1.393m),None,None,72.7,1.8921,"[3.583, 4.077, 3.631, 3.658, 4.457, 3.903]","[4.831, 5.103, 4.713, 4.932, 5.401, 4.829]","[0.729, 1.957, 1.174, -0.862, 2.686, 1.705]"
