episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-6.7660,-6.7660,0.000,101,244,20,0,1.000,35,0.00,11,257.01,0,0,78.639(98.299%)(6.283m),88.386(77.987%)(7.327m),24.190(21.344%)(0.449m),14.588(12.872%)(0.000m),9.733(12.167%)(0.000m),40.000(100.000%)(3.214m),11.141(27.851%)(0.122m),9783.607,22467.684,55.9,0.0000,"[-0.086, -0.000, 0.047, -0.076, -0.043, 0.134]","[-0.074, 0.005, 0.052, -0.075, -0.036, 0.136]","[-0.114, -0.007, 0.037, -0.079, -0.046, 0.131]"
2,1,-6.5860,-6.6760,0.000,103,247,17,0,0.998,40,0.00,22,143.65,0,0,77.786(97.233%)(6.191m),113.333(100.000%)(10.000m),30.364(26.792%)(1.110m),16.505(14.563%)(0.000m),10.342(12.927%)(0.000m),40.000(100.000%)(3.214m),10.728(26.821%)(0.078m),12392.596,24713.803,55.4,0.0000,"[-0.086, -0.001, 0.046, -0.077, -0.043, 0.134]","[-0.074, 0.004, 0.051, -0.075, -0.039, 0.138]","[-0.113, -0.011, 0.036, -0.081, -0.046, 0.131]"
3,1,-5.1052,-6.1524,0.000,161,398,29,0,0.996,50,0.00,39,251.83,0,0,11.339(14.174%)(0.000m),20.553(18.135%)(0.059m),50.022(44.137%)(3.217m),113.333(100.000%)(10.000m),67.642(84.553%)(5.105m),10.030(25.075%)(0.003m),40.000(100.000%)(3.214m),5740.471,16157.890,57.2,0.0000,"[-0.076, 0.007, 0.046, -0.075, -0.043, 0.137]","[-0.068, 0.017, 0.054, -0.069, -0.037, 0.144]","[-0.083, 0.002, 0.024, -0.078, -0.046, 0.134]"
4,1,-5.1999,-5.9143,0.000,212,514,17,0,0.994,55,0.00,61,298.62,0,0,9.369(11.711%)(0.000m),13.941(12.301%)(0.000m),22.866(20.176%)(0.307m),78.394(69.171%)(6.257m),67.733(84.667%)(5.114m),10.858(27.144%)(0.092m),40.000(100.000%)(3.214m),8699.822,16165.503,56.1,0.0000,"[-0.074, 0.005, 0.046, -0.075, -0.043, 0.136]","[-0.066, 0.010, 0.052, -0.068, -0.037, 0.142]","[-0.090, 0.000, 0.027, -0.078, -0.045, 0.133]"
5,1,-5.7923,-5.8899,0.000,82,198,17,0,0.992,35,0.00,70,103.69,0,0,9.539(11.924%)(0.000m),14.195(12.525%)(0.000m),23.282(20.543%)(0.352m),79.820(70.429%)(6.409m),76.230(95.288%)(6.025m),11.055(27.638%)(0.113m),40.000(100.000%)(3.214m),12403.736,21594.345,56.0,0.0000,"[-0.075, 0.007, 0.042, -0.074, -0.041, 0.138]","[-0.066, 0.010, 0.051, -0.068, -0.035, 0.145]","[-0.090, 0.003, 0.029, -0.078, -0.045, 0.134]"
6,1,-7.6518,-6.1835,0.000,230,589,16,0,0.990,60,0.00,93,291.40,0,0,34.654(43.318%)(1.570m),46.887(41.371%)(2.881m),19.265(16.999%)(0.000m),12.666(11.176%)(0.000m),8.984(11.229%)(0.000m),24.851(62.128%)(1.591m),11.514(28.786%)(0.162m),5833.753,12645.602,59.3,0.0000,"[-0.081, 0.006, 0.047, -0.075, -0.045, 0.136]","[-0.068, 0.012, 0.051, -0.071, -0.026, 0.141]","[-0.116, -0.008, 0.035, -0.079, -0.050, 0.133]"
7,1,-9.3373,-6.6341,0.000,397,972,17,0,0.988,70,0.00,133,509.79,0,0,9.945(12.431%)(0.000m),15.363(13.556%)(0.000m),26.723(23.579%)(0.720m),53.556(47.255%)(3.595m),25.845(32.307%)(0.626m),10.835(27.087%)(0.089m),18.429(46.071%)(0.903m),3119.714,16803.609,56.6,0.0000,"[-0.079, 0.001, 0.046, -0.076, -0.043, 0.133]","[-0.072, 0.015, 0.052, -0.068, -0.041, 0.142]","[-0.089, -0.014, 0.026, -0.082, -0.048, 0.120]"
8,1,-8.3270,-6.8457,0.000,162,394,16,0,0.986,50,0.00,150,232.71,0,0,48.197(60.246%)(3.021m),46.945(41.422%)(2.887m),20.434(18.030%)(0.046m),13.654(12.047%)(0.000m),9.805(12.257%)(0.000m),35.245(88.112%)(2.705m),12.895(32.237%)(0.310m),6744.032,16950.452,56.3,0.0000,"[-0.080, 0.004, 0.048, -0.076, -0.044, 0.135]","[-0.068, 0.010, 0.051, -0.073, -0.027, 0.140]","[-0.110, -0.007, 0.031, -0.081, -0.047, 0.133]"
9,1,-4.8086,-6.6193,0.000,169,418,15,0,0.984,50,0.00,167,229.93,0,0,10.116(12.645%)(0.000m),15.389(13.578%)(0.000m),26.111(23.039%)(0.655m),111.092(98.022%)(9.760m),76.230(95.288%)(6.025m),11.296(28.240%)(0.139m),40.000(100.000%)(3.214m),9361.565,15392.004,57.2,4.7496,"[-0.074, 0.007, 0.045, -0.075, -0.044, 0.137]","[-0.068, 0.014, 0.051, -0.069, -0.040, 0.145]","[-0.090, 0.003, 0.026, -0.078, -0.046, 0.134]"
10,1,-5.9766,-6.5550,0.000,206,527,19,0,0.982,55,0.00,188,283.13,0,0,9.059(11.323%)(0.000m),13.110(11.568%)(0.000m),20.657(18.227%)(0.070m),57.995(51.172%)(4.071m),42.112(52.640%)(2.369m),11.036(27.590%)(0.111m),30.465(76.163%)(2.193m),4891.694,14253.126,59.2,1.1731,"[-0.083, 0.004, 0.047, -0.075, -0.043, 0.135]","[-0.069, 0.020, 0.053, -0.070, -0.037, 0.149]","[-0.094, -0.003, 0.024, -0.078, -0.046, 0.126]"
11,1,-5.4865,-6.4579,0.000,147,357,20,0,0.980,45,0.00,203,222.59,0,0,11.618(14.522%)(0.000m),21.059(18.581%)(0.113m),51.252(45.222%)(3.348m),113.333(100.000%)(10.000m),76.230(95.288%)(6.025m),10.277(25.691%)(0.030m),40.000(100.000%)(3.214m),9779.635,21459.752,56.2,0.0000,"[-0.073, 0.005, 0.040, -0.075, -0.044, 0.137]","[-0.068, 0.010, 0.052, -0.069, -0.040, 0.140]","[-0.083, -0.004, 0.023, -0.078, -0.048, 0.134]"
12,1,-6.0936,-6.4275,0.000,389,964,18,0,0.978,70,0.00,242,615.80,0,0,9.794(12.243%)(0.000m),14.680(12.953%)(0.000m),24.342(21.478%)(0.465m),50.238(44.327%)(3.240m),25.738(32.173%)(0.615m),11.211(28.027%)(0.130m),18.361(45.903%)(0.896m),3274.405,15557.626,57.4,0.5977,"[-0.081, 0.001, 0.046, -0.077, -0.043, 0.133]","[-0.068, 0.020, 0.054, -0.070, -0.037, 0.149]","[-0.093, -0.014, 0.026, -0.082, -0.048, 0.122]"
13,1,-6.1961,-6.4097,0.000,72,178,23,0,0.976,30,0.00,250,112.68,0,0,10.287(12.859%)(0.000m),16.559(14.611%)(0.000m),30.940(27.300%)(1.172m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),10.542(26.354%)(0.058m),40.000(100.000%)(3.214m),9695.643,18269.116,57.3,0.9121,"[-0.076, 0.009, 0.040, -0.073, -0.041, 0.139]","[-0.067, 0.014, 0.051, -0.068, -0.037, 0.146]","[-0.088, 0.003, 0.027, -0.078, -0.045, 0.134]"
14,1,-5.8957,-6.3730,0.000,76,187,21,0,0.974,30,0.00,258,119.22,0,0,10.057(12.572%)(0.000m),15.917(14.045%)(0.000m),28.850(25.456%)(0.948m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),10.562(26.404%)(0.060m),40.000(100.000%)(3.214m),12481.181,18092.376,56.9,0.0000,"[-0.076, 0.009, 0.041, -0.074, -0.041, 0.139]","[-0.066, 0.015, 0.050, -0.069, -0.036, 0.146]","[-0.090, 0.003, 0.026, -0.078, -0.045, 0.134]"
15,1,-5.8074,-6.3353,0.000,128,315,18,0,0.972,45,0.00,271,200.52,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),57.137(50.415%)(3.979m),21.975(19.390%)(0.212m),11.843(14.804%)(0.000m),40.000(100.000%)(3.214m),10.220(25.549%)(0.024m),9787.942,18845.625,56.9,0.0000,"[-0.086, -0.003, 0.046, -0.077, -0.044, 0.133]","[-0.074, 0.004, 0.052, -0.075, -0.041, 0.135]","[-0.110, -0.017, 0.034, -0.084, -0.048, 0.130]"
16,1,-6.4018,-6.3395,0.000,172,428,19,0,0.970,50,0.00,289,242.62,0,0,10.495(13.119%)(0.000m),17.194(15.171%)(0.000m),33.216(29.308%)(1.416m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),10.495(26.237%)(0.053m),40.000(100.000%)(3.214m),7611.163,16334.727,57.6,0.0000,"[-0.075, 0.009, 0.044, -0.074, -0.045, 0.137]","[-0.070, 0.014, 0.051, -0.068, -0.041, 0.142]","[-0.086, 0.002, 0.027, -0.078, -0.048, 0.134]"
