episode,close distance,near_miss,MSE,Reward,Avg reward,time,timeframe,steps,progress_pct,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,0,0,0.000,21.140,21.140,4562,269,830,100.0,1,77.786(97.233%)(6.191m),113.333(100.000%)(10.000m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),40.000(100.000%)(3.214m),26.000(65.000%)(1.714m),None,None,71.4,5.1823,"[3.567, 4.205, 3.764, 3.745, 4.595, 3.944]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[2.220, 2.752, 2.096, 2.438, 2.865, 2.637]"
2,5,25,0.000,11.930,16.535,4600,278,853,100.0,1,25.911(32.388%)(0.633m),54.097(47.733%)(3.653m),54.000(47.647%)(3.643m),37.000(32.647%)(1.821m),24.000(30.000%)(0.429m),18.358(45.894%)(0.895m),24.000(60.000%)(1.500m),201.719,3272.891,71.0,1.7325,"[2.655, 3.205, 2.589, 2.916, 3.461, 2.777]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-1.352, 1.040, -2.146, -0.977, 0.800, -2.368]"
3,0,0,0.000,21.140,18.070,4457,269,830,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),113.333(100.000%)(10.000m),76.230(95.288%)(6.025m),26.000(65.000%)(1.714m),40.000(100.000%)(3.214m),None,None,71.4,2.0100,"[3.472, 3.891, 3.467, 3.617, 4.270, 3.562]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[2.460, 2.744, 1.845, 2.826, 3.063, 1.793]"
4,0,0,0.000,21.140,18.838,4431,269,830,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,71.4,1.6766,"[3.505, 4.037, 3.668, 3.699, 4.481, 3.736]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[2.277, 2.835, 2.623, 2.671, 3.581, 2.805]"
5,1,39,0.000,15.750,18.220,4476,271,836,100.0,1,24.673(30.841%)(0.501m),51.680(45.600%)(3.394m),59.000(52.059%)(4.179m),41.000(36.177%)(2.250m),23.000(28.750%)(0.321m),17.455(43.637%)(0.799m),20.000(50.000%)(1.071m),306.459,3390.005,71.4,1.6012,"[2.719, 3.300, 2.653, 2.981, 3.578, 2.853]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-1.643, 0.503, -3.842, -1.318, 0.358, -3.179]"
6,27,16,0.000,-1.620,14.913,2563,155,447,80.0,0,30.000(37.500%)(1.071m),21.000(18.529%)(0.107m),40.000(35.294%)(2.143m),26.000(22.941%)(0.643m),22.000(27.500%)(0.214m),39.371(98.426%)(3.147m),40.000(100.000%)(3.214m),0.000,2925.719,66.7,1.9272,"[1.365, 2.175, 1.878, 1.233, 1.797, 1.754]","[4.686, 5.323, 4.758, 4.913, 5.901, 4.875]","[-9.922, -5.278, -10.327, -11.752, -14.233, -15.167]"
7,0,0,0.000,31.340,17.260,7256,439,1381,100.0,1,77.786(97.233%)(6.191m),113.333(100.000%)(10.000m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),40.000(100.000%)(3.214m),26.000(65.000%)(1.714m),None,None,72.8,1.9189,"[3.464, 4.122, 3.646, 3.668, 4.541, 3.870]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[2.220, 2.752, 2.096, 2.438, 2.865, 2.637]"
8,0,37,0.000,26.540,18.420,7328,442,1389,100.0,1,24.401(30.501%)(0.472m),51.137(45.121%)(3.336m),99.000(87.353%)(8.464m),41.000(36.177%)(2.250m),23.000(28.750%)(0.321m),17.257(43.144%)(0.778m),21.000(52.500%)(1.179m),447.266,6166.405,72.7,1.8924,"[3.015, 3.642, 3.033, 3.245, 4.019, 3.234]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[-0.249, 1.844, -3.879, -1.267, 2.405, -3.294]"
9,0,0,0.000,31.340,19.856,7264,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,72.8,1.7414,"[3.418, 3.939, 3.467, 3.592, 4.349, 3.641]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[2.220, 2.744, 1.845, 2.438, 2.865, 1.793]"
10,0,0,0.000,31.340,21.004,7234,439,1381,100.0,1,38.000(47.500%)(1.929m),93.000(82.059%)(7.821m),113.333(100.000%)(10.000m),93.000(82.059%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None,72.8,1.7181,"[3.442, 4.025, 3.593, 3.649, 4.475, 3.751]","[4.686, 5.115, 4.758, 4.913, 5.362, 4.875]","[2.220, 2.752, 2.096, 2.438, 2.865, 2.637]"
