episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-5.9184,-5.9184,0.000,147,366,17,0,1.000,45,0.00,15,717.80,0,0,9.108(11.385%)(0.000m),13.094(11.553%)(0.000m),20.442(18.037%)(0.047m),55.146(48.659%)(3.766m),64.633(80.792%)(4.782m),11.237(28.093%)(0.133m),40.000(100.000%)(3.214m),6371.996,16345.785,57.6,0.0000,"[0.044, -0.051, 0.197, -0.045, 0.056, -0.103]","[0.053, -0.043, 0.203, -0.041, 0.061, -0.081]","[0.039, -0.056, 0.179, -0.052, 0.044, -0.114]"
2,1,-4.9010,-5.4097,0.000,83,217,14,0,0.998,35,0.00,24,155.85,0,0,77.786(97.233%)(6.191m),113.333(100.000%)(10.000m),28.140(24.829%)(0.872m),16.177(14.274%)(0.000m),10.472(13.090%)(0.000m),40.000(100.000%)(3.214m),11.409(28.523%)(0.151m),7806.917,12161.269,60.5,0.0000,"[0.044, -0.058, 0.194, -0.044, 0.068, -0.112]","[0.046, -0.054, 0.201, -0.041, 0.082, -0.110]","[0.040, -0.064, 0.186, -0.047, 0.058, -0.115]"
3,1,-6.3690,-5.7295,0.000,91,230,17,0,0.996,35,0.00,34,176.19,0,0,78.639(98.299%)(6.283m),86.606(76.418%)(7.136m),23.703(20.914%)(0.397m),14.295(12.613%)(0.000m),9.537(11.922%)(0.000m),40.000(100.000%)(3.214m),10.916(27.291%)(0.098m),7811.807,17253.580,58.6,0.0000,"[0.045, -0.059, 0.195, -0.044, 0.069, -0.112]","[0.048, -0.054, 0.201, -0.040, 0.079, -0.105]","[0.041, -0.064, 0.189, -0.048, 0.058, -0.115]"
4,1,-8.1238,-6.3280,0.000,201,483,20,0,0.994,55,0.00,55,412.47,0,0,10.420(13.025%)(0.000m),17.071(15.062%)(0.000m),32.978(29.098%)(1.391m),113.333(100.000%)(10.000m),58.767(73.459%)(4.154m),10.420(26.049%)(0.045m),40.000(100.000%)(3.214m),10399.814,19810.438,55.6,0.0000,"[0.045, -0.050, 0.200, -0.045, 0.056, -0.103]","[0.054, -0.039, 0.203, -0.040, 0.060, -0.082]","[0.041, -0.055, 0.189, -0.048, 0.044, -0.115]"
5,1,-4.1981,-5.9021,0.000,204,496,20,0,0.992,55,0.00,76,398.93,0,0,10.373(12.966%)(0.000m),16.994(14.995%)(0.000m),32.830(28.968%)(1.375m),113.333(100.000%)(10.000m),67.640(84.550%)(5.104m),10.373(25.933%)(0.040m),40.000(100.000%)(3.214m),7738.125,16174.911,56.2,0.0000,"[0.043, -0.052, 0.199, -0.046, 0.056, -0.104]","[0.052, -0.042, 0.203, -0.042, 0.060, -0.083]","[0.040, -0.056, 0.188, -0.048, 0.044, -0.113]"
6,1,-5.0566,-5.7611,0.000,129,328,20,0,0.990,45,0.00,89,302.29,0,0,69.098(86.372%)(5.260m),113.333(100.000%)(10.000m),32.803(28.944%)(1.372m),17.272(15.240%)(0.000m),10.637(13.296%)(0.000m),40.000(100.000%)(3.214m),10.768(26.919%)(0.082m),5244.887,16162.167,58.9,6.0900,"[0.043, -0.057, 0.195, -0.045, 0.066, -0.111]","[0.049, -0.052, 0.201, -0.042, 0.078, -0.105]","[0.040, -0.064, 0.189, -0.047, 0.057, -0.115]"
7,1,-5.1594,-5.6752,0.000,150,394,17,0,0.988,50,0.00,104,289.79,0,0,9.489(11.861%)(0.000m),13.379(11.805%)(0.000m),20.350(17.956%)(0.037m),49.526(43.699%)(3.163m),61.598(76.997%)(4.457m),12.162(30.406%)(0.232m),40.000(100.000%)(3.214m),3758.802,9793.550,60.8,0.0000,"[0.042, -0.053, 0.193, -0.046, 0.058, -0.107]","[0.051, -0.040, 0.201, -0.042, 0.062, -0.085]","[0.037, -0.056, 0.176, -0.054, 0.046, -0.114]"
8,1,-6.4092,-5.7669,0.000,104,251,18,0,0.986,40,0.00,115,220.95,0,0,10.863(13.579%)(0.000m),18.479(16.305%)(0.000m),38.566(34.029%)(1.989m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),10.344(25.861%)(0.037m),40.000(100.000%)(3.214m),12107.709,23474.011,55.8,0.0000,"[0.047, -0.047, 0.200, -0.044, 0.054, -0.097]","[0.054, -0.038, 0.204, -0.040, 0.058, -0.083]","[0.041, -0.054, 0.189, -0.047, 0.045, -0.110]"
9,1,-4.6896,-5.6472,0.000,166,403,18,0,0.984,50,0.00,132,350.63,0,0,10.432(13.040%)(0.000m),16.244(14.333%)(0.000m),28.630(25.262%)(0.925m),113.333(100.000%)(10.000m),67.642(84.553%)(5.105m),11.227(28.068%)(0.131m),40.000(100.000%)(3.214m),8251.117,17632.775,56.2,1.1036,"[0.044, -0.051, 0.199, -0.045, 0.056, -0.103]","[0.052, -0.042, 0.204, -0.041, 0.060, -0.082]","[0.040, -0.056, 0.188, -0.048, 0.044, -0.113]"
10,1,-6.5077,-5.7333,0.000,102,249,15,0,0.982,40,0.00,143,206.53,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),27.237(24.033%)(0.775m),15.858(13.992%)(0.000m),10.345(12.932%)(0.000m),40.000(100.000%)(3.214m),11.411(28.526%)(0.151m),9787.942,23074.470,56.4,0.0000,"[0.045, -0.058, 0.198, -0.045, 0.067, -0.111]","[0.049, -0.054, 0.201, -0.042, 0.080, -0.106]","[0.041, -0.064, 0.189, -0.048, 0.058, -0.116]"
