episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-5.9948,-5.9948,0.000,99,236,22,0,1.000,40,0.00,10,197.82,0,0,15.803(19.754%)(0.000m),26.127(23.053%)(0.656m),51.384(45.339%)(3.363m),113.333(100.000%)(10.000m),77.067(96.334%)(6.114m),15.611(39.028%)(0.601m),40.000(100.000%)(3.214m),8016.261,10943.039,55.3,0.0000,"[0.090, 0.039, 0.189, 0.011, -0.037, 0.072]","[0.101, 0.051, 0.204, 0.013, -0.013, 0.078]","[0.083, 0.028, 0.183, 0.010, -0.047, 0.068]"
2,1,-6.2929,-6.1438,0.000,135,325,18,0,0.998,50,0.00,24,117.03,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),58.735(51.825%)(4.150m),24.863(21.938%)(0.521m),13.872(17.339%)(0.000m),40.000(100.000%)(3.214m),12.423(31.056%)(0.260m),8520.974,21703.737,55.6,0.0000,"[0.075, 0.023, 0.187, 0.011, -0.040, 0.059]","[0.083, 0.028, 0.193, 0.013, -0.034, 0.069]","[0.067, 0.014, 0.181, 0.008, -0.047, 0.047]"
3,1,-5.8388,-6.0422,0.000,281,722,0,14,0.996,70,0.00,53,207.00,0,0,23.000(28.750%)(0.321m),30.000(26.471%)(1.071m),113.333(100.000%)(10.000m),66.694(58.847%)(5.003m),32.196(40.245%)(1.307m),40.000(100.000%)(3.214m),23.062(57.656%)(1.400m),5192.399,13061.511,59.4,0.0000,"[0.085, 0.032, 0.194, 0.014, -0.031, 0.060]","[0.103, 0.063, 0.218, 0.028, -0.002, 0.069]","[0.074, 0.021, 0.181, 0.009, -0.047, 0.045]"
4,1,-4.6835,-5.7025,0.000,105,275,16,0,0.994,45,0.00,64,70.95,0,0,13.663(17.079%)(0.000m),22.385(19.751%)(0.255m),43.244(38.156%)(2.490m),88.000(77.647%)(7.286m),77.067(96.334%)(6.114m),13.663(34.158%)(0.392m),40.000(100.000%)(3.214m),2652.642,5315.616,60.6,0.0000,"[0.095, 0.044, 0.198, 0.012, -0.030, 0.066]","[0.115, 0.065, 0.227, 0.017, 0.004, 0.071]","[0.083, 0.028, 0.183, 0.008, -0.047, 0.061]"
5,1,-5.3580,-5.6336,0.000,108,263,20,0,0.992,45,0.00,75,69.26,0,0,15.188(18.985%)(0.000m),30.933(27.294%)(1.171m),74.081(65.366%)(5.794m),110.000(97.059%)(9.643m),76.230(95.288%)(6.025m),12.002(30.006%)(0.215m),40.000(100.000%)(3.214m),5211.483,9062.724,56.4,0.0000,"[0.091, 0.039, 0.191, 0.011, -0.036, 0.070]","[0.096, 0.051, 0.204, 0.014, -0.023, 0.078]","[0.083, 0.028, 0.183, 0.006, -0.047, 0.062]"
6,1,-4.7175,-5.4809,0.000,100,256,17,0,0.990,45,0.00,85,61.60,0,0,78.639(98.299%)(6.283m),113.000(99.706%)(9.964m),73.685(65.016%)(5.752m),30.276(26.714%)(1.101m),16.703(20.879%)(0.000m),40.000(100.000%)(3.214m),14.775(36.937%)(0.512m),5347.985,13217.893,59.1,0.0000,"[0.075, 0.021, 0.189, 0.010, -0.039, 0.053]","[0.083, 0.028, 0.193, 0.013, -0.034, 0.069]","[0.065, 0.010, 0.183, 0.002, -0.047, 0.035]"
7,1,-4.2713,-5.3081,0.000,105,254,21,0,0.988,40,0.00,96,96.49,0,0,13.902(17.377%)(0.000m),19.727(17.406%)(0.000m),30.258(26.698%)(1.099m),76.024(67.081%)(6.003m),68.020(85.025%)(5.145m),17.592(43.980%)(0.813m),40.000(100.000%)(3.214m),6622.642,9602.450,55.9,0.0000,"[0.088, 0.034, 0.187, 0.011, -0.039, 0.070]","[0.097, 0.047, 0.197, 0.016, -0.017, 0.076]","[0.081, 0.025, 0.182, 0.003, -0.047, 0.064]"
8,1,-5.6049,-5.3452,0.000,82,198,20,0,0.986,35,0.00,105,56.16,0,0,78.639(98.299%)(6.283m),103.122(90.990%)(8.906m),28.223(24.902%)(0.881m),17.020(15.018%)(0.000m),11.356(14.195%)(0.000m),40.000(100.000%)(3.214m),12.998(32.495%)(0.321m),7215.838,14964.322,56.0,0.0000,"[0.079, 0.020, 0.184, 0.010, -0.044, 0.062]","[0.083, 0.028, 0.192, 0.013, -0.034, 0.069]","[0.076, 0.011, 0.181, 0.007, -0.047, 0.052]"
9,1,-4.2700,-5.2257,0.000,129,331,23,0,0.984,50,0.00,118,83.29,0,0,63.408(79.260%)(4.651m),103.000(90.883%)(8.893m),53.463(47.174%)(3.585m),27.675(24.419%)(0.822m),16.892(21.115%)(0.000m),40.000(100.000%)(3.214m),16.892(42.231%)(0.738m),3212.592,9015.696,59.5,0.0000,"[0.083, 0.026, 0.188, 0.010, -0.042, 0.060]","[0.088, 0.035, 0.195, 0.012, -0.034, 0.070]","[0.074, 0.013, 0.183, 0.007, -0.047, 0.045]"
10,1,-5.4331,-5.2465,0.000,114,283,19,0,0.982,45,0.00,130,77.90,0,0,78.639(98.299%)(6.283m),105.000(92.647%)(9.107m),39.894(35.201%)(2.132m),20.651(18.221%)(0.070m),12.605(15.756%)(0.000m),40.000(100.000%)(3.214m),12.605(31.512%)(0.279m),5325.119,16010.589,57.4,0.0000,"[0.077, 0.022, 0.188, 0.012, -0.040, 0.058]","[0.084, 0.028, 0.193, 0.013, -0.034, 0.069]","[0.068, 0.011, 0.183, 0.008, -0.047, 0.048]"
