episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-10.5643,-10.5643,0.000,400,968,41,0,1.000,75,0.00,40,351.27,0,0,37.229(46.536%)(1.846m),44.000(38.824%)(2.571m),51.000(45.000%)(3.321m),31.097(27.439%)(1.189m),19.151(23.939%)(0.000m),26.898(67.244%)(1.810m),19.387(48.467%)(1.006m),2167.035,7370.507,56.0,0.0000,"[-0.135, -0.147, -0.157, -0.115, -0.168, -0.128]","[-0.106, -0.132, -0.137, -0.080, -0.152, -0.108]","[-0.158, -0.161, -0.173, -0.128, -0.174, -0.154]"
2,1,-4.3055,-7.4349,0.000,190,465,21,0,0.998,55,0.00,59,119.35,0,0,66.421(83.027%)(4.974m),88.000(77.647%)(7.286m),54.076(47.715%)(3.651m),27.992(24.699%)(0.856m),17.086(21.357%)(0.000m),40.000(100.000%)(3.214m),17.086(42.715%)(0.759m),3838.426,12191.264,56.6,0.0000,"[-0.149, -0.149, -0.167, -0.111, -0.170, -0.129]","[-0.132, -0.144, -0.161, -0.086, -0.162, -0.119]","[-0.155, -0.162, -0.173, -0.121, -0.174, -0.135]"
3,1,-5.9668,-6.9455,0.000,107,262,16,0,0.996,45,0.00,70,74.08,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),65.987(58.224%)(4.927m),27.932(24.646%)(0.850m),15.584(19.480%)(0.000m),40.000(100.000%)(3.214m),13.956(34.891%)(0.424m),8259.028,15268.441,56.8,0.0000,"[-0.154, -0.152, -0.173, -0.104, -0.168, -0.126]","[-0.138, -0.148, -0.166, -0.082, -0.166, -0.122]","[-0.161, -0.164, -0.179, -0.121, -0.173, -0.129]"
4,1,-9.0379,-7.4686,0.000,335,820,56,0,0.994,70,0.00,104,211.63,0,0,13.810(17.263%)(0.000m),28.552(25.193%)(0.916m),55.000(48.530%)(3.750m),47.000(41.471%)(2.893m),56.000(70.000%)(3.857m),10.775(26.937%)(0.083m),40.000(100.000%)(3.214m),975.705,6287.423,56.7,0.0000,"[-0.134, -0.146, -0.156, -0.116, -0.167, -0.125]","[-0.106, -0.136, -0.141, -0.107, -0.160, -0.099]","[-0.160, -0.156, -0.173, -0.135, -0.175, -0.137]"
5,1,-5.9732,-7.1695,0.000,255,665,63,24,0.992,70,0.00,130,166.23,0,0,41.000(51.250%)(2.250m),25.000(22.059%)(0.536m),31.000(27.353%)(1.179m),26.000(22.941%)(0.643m),24.000(30.000%)(0.429m),40.000(100.000%)(3.214m),33.897(84.742%)(2.560m),0.000,4667.184,60.4,0.0000,"[-0.137, -0.145, -0.164, -0.114, -0.164, -0.129]","[-0.090, -0.135, -0.132, -0.102, -0.137, -0.106]","[-0.159, -0.156, -0.175, -0.131, -0.174, -0.144]"
6,1,-5.9397,-6.9646,0.000,68,167,17,0,0.990,35,0.00,137,34.16,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),44.995(39.702%)(2.678m),27.135(23.943%)(0.765m),18.105(22.631%)(0.000m),40.000(100.000%)(3.214m),20.723(51.807%)(1.149m),8580.675,14455.018,56.8,0.0000,"[-0.149, -0.150, -0.171, -0.104, -0.168, -0.128]","[-0.129, -0.147, -0.166, -0.081, -0.160, -0.123]","[-0.159, -0.158, -0.173, -0.121, -0.173, -0.136]"
7,1,-5.7916,-6.7970,0.000,124,306,19,0,0.988,45,0.00,150,66.86,0,0,78.639(98.299%)(6.283m),108.000(95.294%)(9.429m),41.037(36.210%)(2.254m),20.866(18.411%)(0.093m),12.621(15.776%)(0.000m),40.000(100.000%)(3.214m),12.468(31.169%)(0.264m),6444.567,13257.270,57.2,0.0000,"[-0.154, -0.151, -0.173, -0.106, -0.167, -0.128]","[-0.128, -0.147, -0.166, -0.080, -0.160, -0.123]","[-0.163, -0.164, -0.180, -0.121, -0.173, -0.134]"
8,1,-3.3679,-6.3684,0.000,180,453,18,0,0.986,55,0.00,168,113.40,0,0,66.329(82.911%)(4.964m),90.000(79.412%)(7.500m),73.440(64.800%)(5.726m),31.087(27.430%)(1.188m),17.344(21.681%)(0.000m),40.000(100.000%)(3.214m),15.533(38.832%)(0.593m),3501.074,9882.681,58.3,0.0000,"[-0.152, -0.150, -0.170, -0.107, -0.170, -0.129]","[-0.140, -0.144, -0.161, -0.083, -0.163, -0.121]","[-0.160, -0.163, -0.179, -0.121, -0.174, -0.135]"
9,1,-4.1361,-6.1203,0.000,147,356,24,0,0.984,50,0.00,183,81.21,0,0,16.013(20.017%)(0.000m),24.178(21.334%)(0.448m),40.547(35.777%)(2.202m),102.000(90.000%)(8.786m),67.780(84.725%)(5.119m),18.103(45.259%)(0.868m),40.000(100.000%)(3.214m),6170.561,9030.979,56.0,0.0000,"[-0.144, -0.147, -0.160, -0.119, -0.169, -0.129]","[-0.110, -0.136, -0.141, -0.110, -0.156, -0.119]","[-0.158, -0.156, -0.172, -0.134, -0.174, -0.133]"
10,1,-5.1516,-6.0235,0.000,161,396,22,0,0.982,55,0.00,200,93.44,0,0,77.786(97.233%)(6.191m),96.000(84.706%)(8.143m),34.806(30.711%)(1.586m),17.698(15.616%)(0.000m),10.704(13.381%)(0.000m),40.000(100.000%)(3.214m),10.574(26.436%)(0.062m),4920.199,12000.842,56.9,0.0000,"[-0.151, -0.150, -0.170, -0.109, -0.168, -0.128]","[-0.124, -0.145, -0.166, -0.083, -0.160, -0.121]","[-0.161, -0.166, -0.176, -0.121, -0.173, -0.131]"
