episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-4.8563,-4.8563,0.000,192,493,61,0,1.000,60,0.00,20,227.10,0,0,10.473(13.092%)(0.000m),15.933(14.058%)(0.000m),27.034(23.854%)(0.754m),62.000(54.706%)(4.500m),65.017(81.271%)(4.823m),11.695(29.238%)(0.182m),40.000(100.000%)(3.214m),1372.699,5616.981,59.4,0.0000,"[-0.120, -0.194, -0.084, -0.244, 0.027, -0.101]","[-0.105, -0.182, -0.078, -0.237, 0.040, -0.098]","[-0.128, -0.199, -0.105, -0.266, -0.002, -0.105]"
2,1,-5.0956,-4.9760,0.000,118,298,10,0,0.998,45,0.00,32,64.58,0,0,69.447(86.809%)(5.298m),113.333(100.000%)(10.000m),70.689(62.373%)(5.431m),29.923(26.402%)(1.063m),16.695(20.868%)(0.000m),40.000(100.000%)(3.214m),14.951(37.377%)(0.530m),5429.725,11435.871,58.5,0.0000,"[-0.123, -0.185, -0.079, -0.240, 0.034, -0.098]","[-0.119, -0.165, -0.076, -0.234, 0.039, -0.093]","[-0.128, -0.197, -0.084, -0.250, 0.015, -0.102]"
3,1,-4.9220,-4.9580,0.000,156,376,24,0,0.996,50,0.00,48,87.57,0,0,15.333(19.166%)(0.000m),24.897(21.968%)(0.525m),47.284(41.722%)(2.923m),97.000(85.588%)(8.250m),76.230(95.288%)(6.025m),15.521(38.803%)(0.592m),40.000(100.000%)(3.214m),5362.376,9108.963,55.8,0.0000,"[-0.119, -0.192, -0.086, -0.242, 0.030, -0.099]","[-0.110, -0.185, -0.078, -0.237, 0.039, -0.096]","[-0.123, -0.195, -0.109, -0.262, -0.002, -0.104]"
4,1,-4.6479,-4.8805,0.000,88,214,25,0,0.994,40,0.00,57,48.21,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),51.637(45.562%)(3.390m),26.729(23.585%)(0.721m),16.315(20.394%)(0.000m),40.000(100.000%)(3.214m),16.315(40.788%)(0.677m),6489.393,17964.601,56.2,0.0000,"[-0.121, -0.182, -0.077, -0.238, 0.035, -0.096]","[-0.115, -0.159, -0.073, -0.234, 0.040, -0.089]","[-0.123, -0.196, -0.079, -0.248, 0.014, -0.101]"
5,1,-5.2820,-4.9608,0.000,132,325,23,0,0.992,50,0.00,71,79.23,0,0,59.539(74.423%)(4.236m),55.714(49.160%)(3.826m),22.892(20.199%)(0.310m),15.051(13.280%)(0.000m),10.675(13.343%)(0.000m),40.000(100.000%)(3.214m),13.682(34.205%)(0.394m),3982.674,11496.245,57.1,0.0000,"[-0.120, -0.188, -0.079, -0.239, 0.033, -0.098]","[-0.107, -0.162, -0.065, -0.236, 0.039, -0.085]","[-0.125, -0.197, -0.086, -0.255, -0.005, -0.103]"
6,1,-4.9778,-4.9636,0.000,119,286,23,0,0.990,45,0.00,83,67.37,0,0,69.448(86.810%)(5.298m),113.333(100.000%)(10.000m),70.510(62.215%)(5.412m),29.847(26.336%)(1.055m),16.652(20.815%)(0.000m),40.000(100.000%)(3.214m),14.913(37.282%)(0.526m),7878.387,17739.101,55.5,0.0000,"[-0.121, -0.184, -0.078, -0.238, 0.035, -0.097]","[-0.116, -0.161, -0.073, -0.233, 0.041, -0.090]","[-0.124, -0.196, -0.080, -0.247, 0.015, -0.101]"
7,1,-3.7418,-4.7891,0.000,233,580,92,0,0.988,65,0.00,107,142.01,0,0,50.308(62.885%)(3.247m),76.000(67.059%)(6.000m),29.102(25.678%)(0.975m),17.551(15.486%)(0.000m),11.710(14.637%)(0.000m),36.601(91.503%)(2.850m),13.403(33.507%)(0.365m),2775.041,7115.210,57.6,0.0000,"[-0.119, -0.191, -0.080, -0.240, 0.031, -0.100]","[-0.113, -0.170, -0.066, -0.236, 0.039, -0.095]","[-0.132, -0.198, -0.092, -0.257, 0.000, -0.106]"
8,1,-5.3427,-4.8583,0.000,87,227,22,0,0.986,40,0.00,116,56.95,0,0,16.394(20.492%)(0.000m),24.752(21.840%)(0.509m),41.511(36.627%)(2.305m),103.000(90.883%)(8.893m),77.067(96.334%)(6.114m),18.533(46.334%)(0.914m),40.000(100.000%)(3.214m),3425.615,5638.350,60.3,0.0000,"[-0.119, -0.196, -0.089, -0.247, 0.024, -0.102]","[-0.107, -0.193, -0.078, -0.237, 0.039, -0.099]","[-0.125, -0.199, -0.107, -0.263, -0.002, -0.106]"
9,1,-4.6447,-4.8345,0.000,210,508,11,0,0.984,60,0.00,137,127.51,0,0,77.786(97.233%)(6.191m),89.000(78.530%)(7.393m),89.005(78.534%)(7.393m),33.874(29.889%)(1.486m),16.632(20.790%)(0.000m),40.000(100.000%)(3.214m),13.143(32.858%)(0.337m),7407.552,18668.259,56.0,0.0000,"[-0.124, -0.184, -0.080, -0.239, 0.034, -0.098]","[-0.121, -0.163, -0.077, -0.234, 0.041, -0.093]","[-0.132, -0.195, -0.088, -0.246, 0.018, -0.102]"
10,1,-4.5656,-4.8077,0.000,248,602,40,0,0.982,65,0.00,162,171.31,0,0,17.238(21.547%)(0.000m),26.027(22.965%)(0.646m),43.648(38.513%)(2.534m),70.000(61.765%)(5.357m),68.004(85.004%)(5.143m),19.488(48.719%)(1.017m),40.000(100.000%)(3.214m),2610.017,7826.611,56.2,0.0000,"[-0.120, -0.190, -0.086, -0.240, 0.030, -0.098]","[-0.110, -0.178, -0.077, -0.237, 0.040, -0.093]","[-0.128, -0.196, -0.107, -0.260, -0.004, -0.102]"
