episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-5.9949,-5.9949,0.000,112,276,17,0,1.000,60,0.00,12,215.17,0,0,11.393(14.241%)(0.000m),18.836(16.620%)(0.000m),37.045(32.687%)(1.826m),101.000(89.118%)(8.679m),77.067(96.334%)(6.114m),11.255(28.137%)(0.134m),40.000(100.000%)(3.214m),4447.632,6880.208,57.0,0.0000,"[-0.079, -0.132, -0.049, -0.152, -0.148, -0.120]","[-0.070, -0.119, -0.043, -0.145, -0.141, -0.112]","[-0.083, -0.137, -0.059, -0.160, -0.151, -0.124]"
2,1,-5.7876,-5.8913,0.000,133,326,16,0,0.998,65,0.00,26,72.52,0,0,63.411(79.264%)(4.651m),62.855(55.461%)(4.592m),25.826(22.788%)(0.624m),16.980(14.983%)(0.000m),12.043(15.054%)(0.000m),40.000(100.000%)(3.214m),15.436(38.589%)(0.582m),6025.671,7517.679,56.8,0.0000,"[-0.079, -0.130, -0.048, -0.140, -0.142, -0.108]","[-0.069, -0.114, -0.041, -0.125, -0.127, -0.077]","[-0.083, -0.138, -0.054, -0.149, -0.150, -0.121]"
3,1,-4.6964,-5.4930,0.000,236,585,16,0,0.996,80,0.00,50,115.71,0,0,63.036(78.796%)(4.611m),61.000(53.824%)(4.393m),48.419(42.723%)(3.045m),24.620(21.723%)(0.495m),14.891(18.614%)(0.000m),40.000(100.000%)(3.214m),14.710(36.776%)(0.505m),1468.565,2797.171,57.4,0.0000,"[-0.078, -0.130, -0.048, -0.140, -0.142, -0.109]","[-0.065, -0.109, -0.041, -0.125, -0.122, -0.078]","[-0.084, -0.138, -0.055, -0.149, -0.150, -0.121]"
4,1,-4.0911,-5.1425,0.000,122,315,17,0,0.994,65,0.00,63,74.70,0,0,77.786(97.233%)(6.191m),84.000(74.118%)(6.857m),35.961(31.730%)(1.710m),18.935(16.707%)(0.000m),11.661(14.576%)(0.000m),40.000(100.000%)(3.214m),11.804(29.511%)(0.193m),2487.545,3038.232,59.7,0.0000,"[-0.077, -0.126, -0.047, -0.137, -0.138, -0.106]","[-0.064, -0.109, -0.043, -0.123, -0.122, -0.078]","[-0.083, -0.137, -0.051, -0.145, -0.149, -0.120]"
5,1,-6.6463,-5.4433,0.000,72,172,19,0,0.992,45,0.00,71,38.07,0,0,78.639(98.299%)(6.283m),52.749(46.543%)(3.509m),22.329(19.702%)(0.249m),14.801(13.060%)(0.000m),10.564(13.205%)(0.000m),40.000(100.000%)(3.214m),13.715(34.286%)(0.398m),8348.324,10723.960,55.4,0.0000,"[-0.078, -0.129, -0.051, -0.138, -0.140, -0.101]","[-0.068, -0.113, -0.049, -0.125, -0.127, -0.077]","[-0.083, -0.137, -0.054, -0.146, -0.149, -0.120]"
6,1,-8.1100,-5.8877,0.000,248,650,64,5,0.990,80,0.00,96,128.73,0,0,17.490(21.862%)(0.000m),31.348(27.660%)(1.216m),46.000(40.588%)(2.786m),36.000(31.765%)(1.714m),20.420(25.525%)(0.045m),15.663(39.158%)(0.607m),14.399(35.999%)(0.471m),215.693,5620.113,60.6,0.0000,"[-0.077, -0.128, -0.047, -0.141, -0.142, -0.111]","[-0.052, -0.110, -0.030, -0.116, -0.119, -0.083]","[-0.091, -0.138, -0.058, -0.155, -0.155, -0.124]"
7,1,-3.7127,-5.5770,0.000,348,865,69,40,0.988,85,0.00,131,190.29,0,0,25.000(31.250%)(0.536m),22.000(19.412%)(0.214m),22.000(19.412%)(0.214m),28.208(24.889%)(0.879m),15.562(19.453%)(0.000m),40.000(100.000%)(3.214m),13.765(34.414%)(0.403m),0.000,686.883,57.6,0.0000,"[-0.076, -0.127, -0.046, -0.135, -0.138, -0.106]","[-0.062, -0.110, -0.034, -0.119, -0.120, -0.075]","[-0.084, -0.138, -0.053, -0.150, -0.150, -0.122]"
8,1,-5.2861,-5.5407,0.000,124,310,17,0,0.986,65,0.00,144,59.56,0,0,13.311(16.639%)(0.000m),23.858(21.052%)(0.413m),56.363(49.732%)(3.896m),92.000(81.177%)(7.714m),77.067(96.334%)(6.114m),11.921(29.802%)(0.206m),40.000(100.000%)(3.214m),4124.090,6646.000,57.9,0.0000,"[-0.080, -0.131, -0.050, -0.152, -0.148, -0.121]","[-0.076, -0.127, -0.040, -0.144, -0.144, -0.113]","[-0.083, -0.137, -0.066, -0.159, -0.149, -0.125]"
9,1,-11.1694,-6.1661,0.000,334,837,61,13,0.984,85,0.00,178,236.40,0,0,28.430(35.538%)(0.903m),23.000(20.294%)(0.321m),22.000(19.412%)(0.214m),85.000(75.000%)(6.964m),41.094(51.367%)(2.260m),20.263(50.658%)(1.100m),29.748(74.370%)(2.116m),0.000,4197.034,58.0,0.0000,"[-0.080, -0.132, -0.052, -0.147, -0.148, -0.116]","[-0.064, -0.115, -0.045, -0.133, -0.136, -0.095]","[-0.087, -0.138, -0.057, -0.155, -0.156, -0.124]"
10,1,-5.4109,-6.0905,0.000,240,647,3,15,0.982,85,0.00,202,130.31,0,0,20.000(25.000%)(0.000m),32.000(28.235%)(1.286m),113.333(100.000%)(10.000m),56.000(49.412%)(3.857m),36.000(45.000%)(1.714m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),None,None,62.4,0.0000,"[-0.076, -0.126, -0.044, -0.136, -0.139, -0.114]","[-0.064, -0.115, -0.032, -0.118, -0.122, -0.096]","[-0.084, -0.138, -0.054, -0.148, -0.151, -0.123]"
