episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-4.9080,-4.9080,0.000,95,245,13,0,1.000,55,0.00,10,225.65,0,0,14.205(17.756%)(0.000m),23.066(20.352%)(0.328m),43.806(38.653%)(2.551m),97.000(85.588%)(8.250m),76.230(95.288%)(6.025m),14.380(35.949%)(0.469m),40.000(100.000%)(3.214m),3462.957,5152.389,59.6,0.0000,"[-0.093, 0.069, 0.172, -0.058, -0.113, 0.113]","[-0.080, 0.078, 0.183, -0.049, -0.096, 0.118]","[-0.104, 0.061, 0.162, -0.082, -0.128, 0.107]"
2,1,-3.1068,-4.0074,0.000,363,897,106,25,0.998,85,0.00,47,271.86,0,0,29.000(36.250%)(0.964m),29.000(25.588%)(0.964m),24.357(21.491%)(0.467m),16.014(14.130%)(0.000m),11.358(14.197%)(0.000m),29.876(74.690%)(2.130m),14.557(36.393%)(0.488m),809.494,2242.082,57.2,0.0000,"[-0.100, 0.066, 0.165, -0.057, -0.121, 0.113]","[-0.086, 0.084, 0.177, -0.049, -0.099, 0.130]","[-0.117, 0.055, 0.142, -0.075, -0.137, 0.106]"
3,1,-4.8679,-4.2942,0.000,127,306,18,0,0.996,60,0.00,60,71.39,0,0,78.639(98.299%)(6.283m),104.000(91.765%)(9.000m),65.239(57.564%)(4.847m),25.965(22.910%)(0.639m),14.160(17.700%)(0.000m),40.000(100.000%)(3.214m),12.371(30.929%)(0.254m),5616.158,8654.410,55.8,0.0000,"[-0.110, 0.066, 0.149, -0.050, -0.139, 0.113]","[-0.103, 0.070, 0.162, -0.048, -0.127, 0.119]","[-0.121, 0.057, 0.131, -0.058, -0.154, 0.107]"
4,1,-5.3303,-4.5532,0.000,93,232,13,0,0.994,55,0.00,70,75.75,0,0,78.639(98.299%)(6.283m),105.000(92.647%)(9.107m),38.029(33.555%)(1.932m),20.024(17.668%)(0.003m),12.332(15.415%)(0.000m),40.000(100.000%)(3.214m),12.483(31.208%)(0.266m),4111.333,5774.143,57.6,0.0000,"[-0.112, 0.063, 0.147, -0.051, -0.142, 0.114]","[-0.103, 0.070, 0.162, -0.048, -0.127, 0.122]","[-0.125, 0.047, 0.130, -0.064, -0.159, 0.107]"
5,1,-4.9086,-4.6243,0.000,182,460,73,0,0.992,75,0.00,89,136.39,0,0,75.282(94.103%)(5.923m),67.000(59.118%)(5.036m),51.868(45.766%)(3.414m),21.956(19.373%)(0.210m),12.250(15.312%)(0.000m),40.000(100.000%)(3.214m),10.970(27.425%)(0.104m),2884.364,4175.347,58.4,0.0000,"[-0.108, 0.064, 0.155, -0.051, -0.136, 0.115]","[-0.103, 0.070, 0.168, -0.048, -0.127, 0.122]","[-0.120, 0.055, 0.131, -0.062, -0.151, 0.107]"
6,1,-4.0802,-4.5336,0.000,251,611,89,0,0.990,80,0.00,115,174.88,0,0,11.687(14.609%)(0.000m),21.184(18.692%)(0.127m),51.558(45.492%)(3.381m),65.000(57.353%)(4.821m),60.968(76.210%)(4.389m),10.338(25.845%)(0.036m),40.000(100.000%)(3.214m),2396.910,5375.976,56.3,0.0000,"[-0.097, 0.068, 0.169, -0.057, -0.116, 0.111]","[-0.077, 0.075, 0.185, -0.048, -0.090, 0.120]","[-0.105, 0.061, 0.157, -0.074, -0.133, 0.107]"
7,1,-4.3989,-4.5144,0.000,138,349,36,0,0.988,65,0.00,129,80.48,0,0,15.488(19.360%)(0.000m),25.606(22.593%)(0.601m),50.359(44.434%)(3.253m),85.000(75.000%)(6.964m),77.067(96.334%)(6.114m),15.300(38.249%)(0.568m),40.000(100.000%)(3.214m),4090.704,4777.819,58.6,0.0000,"[-0.097, 0.066, 0.171, -0.057, -0.116, 0.113]","[-0.080, 0.073, 0.184, -0.049, -0.091, 0.120]","[-0.105, 0.059, 0.162, -0.080, -0.127, 0.106]"
8,1,-5.2516,-4.6065,0.000,89,222,19,0,0.986,55,0.00,138,63.11,0,0,77.786(97.233%)(6.191m),113.000(99.706%)(9.964m),45.204(39.886%)(2.700m),26.640(23.506%)(0.711m),17.513(21.891%)(0.000m),40.000(100.000%)(3.214m),19.555(48.888%)(1.024m),3341.043,5040.817,57.8,0.0000,"[-0.109, 0.064, 0.152, -0.051, -0.138, 0.113]","[-0.103, 0.070, 0.162, -0.048, -0.127, 0.121]","[-0.125, 0.048, 0.134, -0.063, -0.157, 0.107]"
9,1,-3.8736,-4.5251,0.000,236,622,107,13,0.984,85,0.00,162,162.91,0,0,27.000(33.750%)(0.750m),24.000(21.177%)(0.429m),31.000(27.353%)(1.179m),113.333(100.000%)(10.000m),65.000(81.250%)(4.821m),19.660(49.150%)(1.035m),40.000(100.000%)(3.214m),0.000,1755.845,61.0,0.0000,"[-0.096, 0.065, 0.172, -0.061, -0.118, 0.112]","[-0.081, 0.075, 0.184, -0.049, -0.106, 0.120]","[-0.105, 0.060, 0.162, -0.087, -0.127, 0.106]"
10,1,-4.7046,-4.5430,0.000,100,244,31,0,0.982,55,0.00,172,63.68,0,0,17.450(21.812%)(0.000m),26.545(23.422%)(0.701m),45.042(39.743%)(2.683m),110.000(97.059%)(9.643m),68.020(85.025%)(5.145m),19.485(48.713%)(1.016m),40.000(100.000%)(3.214m),7577.355,9646.448,56.6,0.0000,"[-0.096, 0.068, 0.170, -0.057, -0.115, 0.112]","[-0.075, 0.075, 0.187, -0.048, -0.089, 0.119]","[-0.104, 0.060, 0.159, -0.078, -0.130, 0.107]"
11,1,-5.6179,-4.6408,0.000,65,173,20,0,0.980,50,0.00,179,40.74,0,0,78.639(98.299%)(6.283m),112.000(98.824%)(9.857m),36.009(31.773%)(1.715m),21.716(19.161%)(0.184m),14.489(18.111%)(0.000m),40.000(100.000%)(3.214m),16.584(41.460%)(0.705m),2718.661,3486.668,61.5,0.0000,"[-0.111, 0.059, 0.152, -0.053, -0.141, 0.117]","[-0.103, 0.067, 0.162, -0.049, -0.127, 0.125]","[-0.127, 0.042, 0.132, -0.065, -0.161, 0.107]"
12,1,-5.5621,-4.7175,0.000,73,180,27,0,0.978,50,0.00,187,47.48,0,0,11.807(14.759%)(0.000m),17.696(15.614%)(0.000m),29.343(25.891%)(1.001m),107.216(94.602%)(9.345m),77.067(96.334%)(6.114m),13.514(33.785%)(0.377m),40.000(100.000%)(3.214m),5496.848,7290.595,57.1,0.0000,"[-0.092, 0.069, 0.173, -0.062, -0.110, 0.113]","[-0.075, 0.075, 0.188, -0.049, -0.091, 0.123]","[-0.104, 0.064, 0.162, -0.084, -0.127, 0.107]"
13,1,-5.0253,-4.7412,0.000,126,306,18,0,0.976,60,0.00,200,101.12,0,0,14.280(17.850%)(0.000m),25.595(22.584%)(0.599m),60.466(53.352%)(4.336m),101.000(89.118%)(8.679m),77.067(96.334%)(6.114m),12.789(31.971%)(0.299m),40.000(100.000%)(3.214m),5008.336,7028.016,56.3,0.0000,"[-0.093, 0.071, 0.171, -0.057, -0.112, 0.111]","[-0.077, 0.079, 0.186, -0.049, -0.088, 0.116]","[-0.105, 0.066, 0.162, -0.072, -0.127, 0.106]"
14,1,-4.6600,-4.7354,0.000,118,311,14,0,0.974,65,0.00,212,76.97,0,0,17.579(21.974%)(0.000m),28.544(25.186%)(0.915m),54.211(47.833%)(3.665m),82.000(72.353%)(6.643m),68.020(85.025%)(5.145m),17.795(44.488%)(0.835m),40.000(100.000%)(3.214m),2414.177,2762.985,61.0,0.0000,"[-0.098, 0.065, 0.170, -0.055, -0.119, 0.113]","[-0.084, 0.076, 0.179, -0.048, -0.098, 0.118]","[-0.104, 0.058, 0.159, -0.076, -0.130, 0.107]"
15,1,-4.7937,-4.7393,0.000,117,289,18,0,0.972,60,0.00,224,74.70,0,0,77.786(97.233%)(6.191m),99.000(87.353%)(8.464m),65.817(58.074%)(4.909m),27.043(23.862%)(0.755m),14.920(18.649%)(0.000m),40.000(100.000%)(3.214m),13.197(32.993%)(0.343m),4739.416,8212.560,57.2,0.0000,"[-0.110, 0.064, 0.151, -0.050, -0.139, 0.114]","[-0.103, 0.067, 0.162, -0.048, -0.127, 0.119]","[-0.120, 0.057, 0.132, -0.057, -0.151, 0.107]"
16,1,-4.2441,-4.7083,0.000,116,282,28,0,0.970,60,0.00,236,83.56,0,0,77.786(97.233%)(6.191m),104.000(91.765%)(9.000m),61.191(53.993%)(4.413m),25.306(22.328%)(0.568m),13.801(17.251%)(0.000m),40.000(100.000%)(3.214m),12.057(30.143%)(0.220m),6432.656,8922.717,56.3,0.0000,"[-0.108, 0.065, 0.152, -0.050, -0.137, 0.113]","[-0.103, 0.070, 0.164, -0.048, -0.127, 0.118]","[-0.120, 0.058, 0.131, -0.057, -0.152, 0.107]"
17,1,-5.5102,-4.7555,0.000,154,370,19,0,0.968,65,0.00,252,104.04,0,0,12.913(16.141%)(0.000m),21.348(18.837%)(0.144m),41.986(37.047%)(2.356m),98.000(86.471%)(8.357m),77.067(96.334%)(6.114m),12.756(31.890%)(0.295m),40.000(100.000%)(3.214m),5765.525,9439.422,55.5,0.0000,"[-0.092, 0.072, 0.173, -0.058, -0.110, 0.111]","[-0.076, 0.078, 0.188, -0.049, -0.088, 0.121]","[-0.104, 0.064, 0.162, -0.080, -0.127, 0.107]"
18,1,-4.2187,-4.7257,0.000,211,540,60,0,0.967,75,0.00,274,129.57,0,0,9.606(12.007%)(0.000m),14.613(12.893%)(0.000m),24.795(21.878%)(0.514m),60.000(52.941%)(4.286m),36.009(45.012%)(1.715m),10.726(26.816%)(0.078m),25.898(64.744%)(1.703m),1896.403,4393.465,59.2,0.0000,"[-0.103, 0.064, 0.162, -0.055, -0.126, 0.116]","[-0.075, 0.071, 0.186, -0.047, -0.092, 0.125]","[-0.114, 0.058, 0.145, -0.085, -0.147, 0.107]"
