episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-5.8438,-5.8438,0.000,123,297,21,0,1.000,35,0.00,13,506.96,0,0,11.226(14.033%)(0.000m),19.690(17.374%)(0.000m),44.068(38.883%)(2.579m),113.333(100.000%)(10.000m),76.230(95.288%)(6.025m),10.304(25.760%)(0.033m),40.000(100.000%)(3.214m),7847.754,17060.943,55.8,0.0000,"[0.029, 0.095, -0.086, 0.034, 0.125, -0.019]","[0.034, 0.112, -0.077, 0.044, 0.139, 0.004]","[0.026, 0.085, -0.089, 0.027, 0.116, -0.031]"
2,1,-4.4958,-5.1698,0.000,217,548,29,0,0.998,50,0.00,35,613.80,0,0,65.000(81.250%)(4.821m),87.000(76.765%)(7.179m),102.040(90.035%)(8.790m),26.002(22.943%)(0.643m),12.577(15.721%)(0.000m),40.000(100.000%)(3.214m),9.813(24.532%)(0.000m),5926.624,12683.586,58.4,0.0000,"[0.023, 0.090, -0.072, 0.031, 0.120, -0.013]","[0.029, 0.105, -0.037, 0.044, 0.137, 0.021]","[0.020, 0.082, -0.089, 0.022, 0.112, -0.034]"
3,1,-4.5716,-4.9704,0.000,167,422,18,0,0.996,45,0.00,52,462.54,0,0,12.525(15.656%)(0.000m),25.895(22.848%)(0.632m),81.339(71.770%)(6.572m),102.000(90.000%)(8.786m),76.230(95.288%)(6.025m),9.772(24.430%)(0.000m),40.000(100.000%)(3.214m),6202.112,10598.950,58.4,0.0000,"[0.029, 0.089, -0.090, 0.030, 0.120, -0.025]","[0.033, 0.098, -0.086, 0.036, 0.125, -0.012]","[0.026, 0.085, -0.094, 0.019, 0.114, -0.032]"
4,1,-7.2573,-5.5421,0.000,257,635,16,0,0.994,55,0.00,78,719.24,0,0,62.935(78.669%)(4.600m),58.708(51.801%)(4.147m),21.762(19.202%)(0.189m),13.939(12.300%)(0.000m),9.696(12.120%)(0.000m),40.000(100.000%)(3.214m),11.963(29.907%)(0.210m),3485.880,8389.247,57.1,0.0000,"[0.025, 0.092, -0.079, 0.033, 0.119, -0.023]","[0.029, 0.117, -0.025, 0.051, 0.138, 0.028]","[0.017, 0.078, -0.093, 0.021, 0.107, -0.036]"
5,1,-3.8059,-5.1949,0.000,205,503,59,0,0.992,50,0.00,99,571.55,0,0,13.254(16.567%)(0.000m),29.777(26.274%)(1.048m),96.288(84.960%)(8.174m),97.000(85.588%)(8.250m),67.688(84.610%)(5.109m),9.692(24.230%)(0.000m),40.000(100.000%)(3.214m),4926.617,16515.030,56.8,0.0000,"[0.028, 0.094, -0.088, 0.031, 0.126, -0.019]","[0.033, 0.105, -0.083, 0.039, 0.139, -0.003]","[0.024, 0.082, -0.093, 0.025, 0.112, -0.034]"
6,1,-5.9302,-5.3174,0.000,112,274,22,0,0.990,35,0.00,111,297.52,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),83.270(73.474%)(6.779m),26.120(23.047%)(0.656m),12.634(15.792%)(0.000m),40.000(100.000%)(3.214m),9.857(24.642%)(0.000m),6536.909,17714.386,56.6,0.0000,"[0.024, 0.094, -0.067, 0.037, 0.123, -0.010]","[0.027, 0.109, -0.038, 0.046, 0.140, 0.021]","[0.020, 0.085, -0.086, 0.028, 0.113, -0.029]"
7,1,-4.4495,-5.1934,0.000,152,369,16,0,0.988,40,0.00,127,427.60,0,0,9.733(12.166%)(0.000m),13.900(12.265%)(0.000m),21.507(18.977%)(0.161m),55.920(49.341%)(3.849m),67.484(84.355%)(5.088m),12.161(30.402%)(0.232m),40.000(100.000%)(3.214m),5628.509,12022.065,56.3,5.9278,"[0.029, 0.091, -0.085, 0.033, 0.121, -0.024]","[0.039, 0.122, -0.065, 0.044, 0.140, 0.012]","[0.025, 0.083, -0.091, 0.026, 0.111, -0.032]"
8,1,-6.3272,-5.3352,0.000,206,513,14,0,0.986,50,0.00,148,614.00,0,0,10.473(13.091%)(0.000m),16.307(14.388%)(0.000m),28.740(25.359%)(0.936m),81.000(71.471%)(6.536m),74.000(92.500%)(5.786m),11.270(28.176%)(0.136m),40.000(100.000%)(3.214m),4304.439,8940.747,57.7,0.0000,"[0.030, 0.088, -0.088, 0.031, 0.120, -0.025]","[0.035, 0.111, -0.080, 0.038, 0.132, 0.005]","[0.026, 0.081, -0.094, 0.023, 0.113, -0.033]"
9,1,-6.0528,-5.4149,0.000,124,304,16,0,0.984,35,0.00,161,352.14,0,0,78.639(98.299%)(6.283m),107.000(94.412%)(9.321m),29.226(25.788%)(0.989m),16.125(14.228%)(0.000m),10.189(12.736%)(0.000m),40.000(100.000%)(3.214m),10.699(26.748%)(0.075m),6642.195,15148.235,56.7,0.0000,"[0.023, 0.092, -0.072, 0.035, 0.121, -0.015]","[0.026, 0.109, -0.034, 0.050, 0.137, 0.023]","[0.020, 0.083, -0.086, 0.027, 0.112, -0.029]"
10,1,-6.3196,-5.5054,0.000,74,185,20,0,0.982,30,0.00,169,228.60,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),27.961(24.672%)(0.853m),15.865(13.998%)(0.000m),10.189(12.736%)(0.000m),40.000(100.000%)(3.214m),10.965(27.412%)(0.103m),6775.218,13259.162,57.7,0.0000,"[0.022, 0.092, -0.070, 0.036, 0.120, -0.016]","[0.026, 0.107, -0.033, 0.049, 0.135, 0.023]","[0.020, 0.083, -0.087, 0.027, 0.112, -0.030]"
11,1,-6.1263,-5.5618,0.000,280,719,66,18,0.980,60,0.00,197,768.98,0,0,64.895(81.119%)(4.810m),43.000(37.941%)(2.464m),20.000(17.647%)(0.000m),20.000(17.647%)(0.000m),29.336(36.670%)(1.000m),40.000(100.000%)(3.214m),20.962(52.404%)(1.174m),0.000,9146.302,59.4,0.0000,"[0.024, 0.092, -0.079, 0.029, 0.118, -0.020]","[0.033, 0.111, -0.064, 0.041, 0.137, -0.004]","[0.020, 0.081, -0.091, 0.020, 0.108, -0.036]"
