episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,avg_speed,avg_inference_time,Q_avg,Q_max,Q_min
1,1,-5.7339,-5.7339,0.000,144,352,20,0,1.000,65,0.00,15,531.95,0,0,77.786(97.233%)(6.191m),93.000(82.059%)(7.821m),59.832(52.793%)(4.268m),22.898(20.204%)(0.311m),12.039(15.049%)(0.000m),40.000(100.000%)(3.214m),10.133(25.333%)(0.014m),5210.349,7627.425,56.5,0.0000,"[-0.111, -0.043, 0.044, 0.062, -0.104, -0.082]","[-0.094, -0.027, 0.049, 0.070, -0.084, -0.076]","[-0.131, -0.051, 0.023, 0.058, -0.117, -0.097]"
2,1,-5.6699,-5.7019,0.000,200,500,20,0,0.998,75,0.00,35,418.48,0,0,10.196(12.744%)(0.000m),16.703(14.738%)(0.000m),32.269(28.472%)(1.314m),68.000(60.000%)(5.143m),61.752(77.191%)(4.473m),10.196(25.489%)(0.021m),40.000(100.000%)(3.214m),3086.795,4645.813,57.9,0.0000,"[-0.129, -0.050, 0.035, 0.055, -0.116, -0.083]","[-0.122, -0.041, 0.048, 0.062, -0.109, -0.075]","[-0.148, -0.054, -0.014, 0.037, -0.126, -0.105]"
3,1,-3.0533,-4.8191,0.000,188,471,15,0,0.996,75,0.00,54,391.28,0,0,66.137(82.671%)(4.943m),69.000(60.883%)(5.250m),49.174(43.389%)(3.126m),20.205(17.828%)(0.022m),11.147(13.934%)(0.000m),40.000(100.000%)(3.214m),9.860(24.650%)(0.000m),1527.341,2554.189,58.0,0.0000,"[-0.121, -0.048, 0.044, 0.059, -0.114, -0.080]","[-0.090, -0.036, 0.049, 0.067, -0.109, -0.075]","[-0.134, -0.052, 0.027, 0.056, -0.126, -0.097]"
4,1,-3.4389,-4.4740,0.000,168,411,19,0,0.994,70,0.00,71,346.15,0,0,68.942(86.178%)(5.244m),89.000(78.530%)(7.393m),25.676(22.656%)(0.608m),14.949(13.190%)(0.000m),9.752(12.190%)(0.000m),40.000(100.000%)(3.214m),10.757(26.891%)(0.081m),6225.870,7851.366,56.6,14.2172,"[-0.123, -0.048, 0.042, 0.058, -0.111, -0.082]","[-0.096, -0.026, 0.048, 0.068, -0.091, -0.075]","[-0.134, -0.055, 0.018, 0.056, -0.118, -0.099]"
5,1,-10.7243,-5.7241,0.000,311,779,66,0,0.992,85,0.00,103,648.14,0,0,11.264(14.080%)(0.000m),20.417(18.015%)(0.045m),39.000(34.412%)(2.036m),34.000(30.000%)(1.500m),31.693(39.616%)(1.253m),9.963(24.909%)(0.000m),22.696(56.739%)(1.360m),567.325,3127.008,58.0,0.0000,"[-0.127, -0.046, 0.034, 0.056, -0.111, -0.082]","[-0.100, -0.033, 0.053, 0.069, -0.101, -0.068]","[-0.162, -0.064, -0.018, 0.028, -0.124, -0.110]"
6,1,-6.2543,-5.8124,0.000,125,304,32,0,0.990,60,0.00,116,241.35,0,0,78.639(98.299%)(6.283m),113.333(100.000%)(10.000m),89.738(79.181%)(7.472m),29.916(26.396%)(1.062m),13.315(16.644%)(0.000m),40.000(100.000%)(3.214m),9.737(24.342%)(0.000m),3874.920,8991.430,56.2,0.0000,"[-0.109, -0.043, 0.044, 0.063, -0.100, -0.083]","[-0.090, -0.033, 0.048, 0.069, -0.087, -0.077]","[-0.131, -0.053, 0.037, 0.058, -0.114, -0.088]"
7,1,-6.8171,-5.9560,0.000,249,633,30,0,0.988,80,0.00,141,473.46,0,0,10.868(13.585%)(0.000m),17.647(15.571%)(0.000m),33.516(29.573%)(1.448m),43.000(37.941%)(2.464m),47.177(58.972%)(2.912m),11.002(27.504%)(0.107m),34.318(85.794%)(2.605m),1085.856,3944.554,58.8,0.0000,"[-0.128, -0.050, 0.039, 0.056, -0.115, -0.080]","[-0.116, -0.044, 0.050, 0.061, -0.106, -0.073]","[-0.155, -0.059, -0.018, 0.030, -0.131, -0.109]"
8,1,-7.6793,-6.1714,0.000,328,825,0,14,0.986,85,0.00,174,627.85,0,0,22.000(27.500%)(0.214m),28.000(24.706%)(0.857m),68.000(60.000%)(5.143m),101.000(89.118%)(8.679m),56.000(70.000%)(3.857m),28.677(71.692%)(2.001m),40.000(100.000%)(3.214m),815.511,7041.907,58.2,0.0000,"[-0.137, -0.048, 0.035, 0.055, -0.111, -0.077]","[-0.125, -0.042, 0.047, 0.058, -0.099, -0.070]","[-0.146, -0.057, 0.018, 0.045, -0.137, -0.084]"
9,1,-6.0751,-6.1607,0.000,115,280,17,0,0.984,60,0.00,186,220.73,0,0,78.639(98.299%)(6.283m),98.303(86.738%)(8.390m),25.050(22.103%)(0.541m),14.937(13.180%)(0.000m),9.893(12.366%)(0.000m),40.000(100.000%)(3.214m),11.184(27.961%)(0.127m),6020.467,7419.438,56.3,0.0000,"[-0.115, -0.046, 0.043, 0.060, -0.107, -0.082]","[-0.096, -0.032, 0.049, 0.066, -0.099, -0.076]","[-0.131, -0.050, 0.023, 0.058, -0.114, -0.097]"
10,1,-7.0199,-6.2466,0.000,251,655,0,15,0.982,85,0.00,212,498.88,0,0,24.000(30.000%)(0.429m),25.000(22.059%)(0.536m),71.000(62.647%)(5.464m),102.000(90.000%)(8.786m),58.000(72.500%)(4.071m),27.310(68.274%)(1.855m),40.000(100.000%)(3.214m),0.000,1531.556,60.4,1.1819,"[-0.137, -0.050, 0.037, 0.055, -0.116, -0.077]","[-0.128, -0.045, 0.047, 0.062, -0.105, -0.065]","[-0.143, -0.057, 0.013, 0.045, -0.133, -0.090]"
